model,layer,source,target,target_class,control,gain,vector_class,prompt,generated,question_marker,negation_marker,modality_marker,tense_shift_marker,passive_marker,target_marker_hit,any_other_marker_hit,question_mark_hit,generated_chars
gpt2,2,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,wrong_class,0.25,negation,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,random_norm,0.25,random_norm,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,negative_target,0.25,question,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,target,0.5,question,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,wrong_class,0.5,negation,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,random_norm,0.5,random_norm,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,negative_target,0.5,question,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,target,0.75,question,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
The sorcerer predicted the storm?
The sorcerer predicted the storm?
The sorcerer predicted the storm?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,135.0
gpt2,2,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,wrong_class,0.75,negation,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,random_norm,0.75,random_norm,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,negative_target,0.75,question,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,target,1.0,question,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
The sorcerer predicted the storm?
The answer is a simple question.
The answer is a simple question",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,132.0
gpt2,2,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,wrong_class,1.0,negation,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,random_norm,1.0,random_norm,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
Output: The sorcerer predicted the storm.
Output: The sorcerer predicted the storm.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0
gpt2,2,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,negative_target,1.0,question,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,none,0.0,,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,target,0.25,question,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,wrong_class,0.25,tense_shift,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,random_norm,0.25,random_norm,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,negative_target,0.25,question,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,target,0.5,question,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,wrong_class,0.5,tense_shift,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,random_norm,0.5,random_norm,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,negative_target,0.5,question,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,target,0.75,question,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The alien predicted the storm?
The alien predicted the storm?
The alien predicted the storm?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,123.0
gpt2,2,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,wrong_class,0.75,tense_shift,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,random_norm,0.75,random_norm,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
Output: The alien predicted the storm.
Output: The alien predicted the storm.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
gpt2,2,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,negative_target,0.75,question,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,target,1.0,question,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The answer is:
The answer is:
The answer is:
The answer is:
The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0
gpt2,2,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,wrong_class,1.0,tense_shift,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,random_norm,1.0,random_norm,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,negative_target,1.0,question,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,none,0.0,,"Input: The giant guarded the treasure.
Output:","The treasure was guarded by the giant.
The treasure was guarded by the giant.
The treasure was guarded by the giant.
The",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,120.0
gpt2,2,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,target,0.25,question,"Input: The giant guarded the treasure.
Output:","The treasure was guarded by the giant.
Output: The treasure was guarded by the giant.
Output: The treasure was guarded by the",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,125.0
gpt2,2,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,wrong_class,0.25,negation,"Input: The giant guarded the treasure.
Output:","The giant guarded the treasure.
Output: The giant guarded the treasure.
Output: The giant guarded the treasure.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,random_norm,0.25,random_norm,"Input: The giant guarded the treasure.
Output:","The treasure was guarded by the giant.
Output: The treasure was guarded by the giant.
Output: The treasure was guarded by the",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,125.0
gpt2,2,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,negative_target,0.25,question,"Input: The giant guarded the treasure.
Output:","The giant guarded the treasure.
The giant guarded the treasure.
The giant guarded the treasure.
The giant guarded the treasure.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0
gpt2,2,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,target,0.5,question,"Input: The giant guarded the treasure.
Output:","The treasure was a large, dark, and very large treasure.
The treasure was a large, dark, and very large treasure.",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,113.0
gpt2,2,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,wrong_class,0.5,negation,"Input: The giant guarded the treasure.
Output:","The giant guarded the treasure.
The treasure was a large, dark, and very large treasure.
The treasure was a large, dark",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,119.0
gpt2,2,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,random_norm,0.5,random_norm,"Input: The giant guarded the treasure.
Output:","The treasure was guarded by the giant.
The treasure was guarded by the giant.
The treasure was guarded by the giant.
The",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,120.0
gpt2,2,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,negative_target,0.5,question,"Input: The giant guarded the treasure.
Output:","The giant guarded the treasure.
The giant guarded the treasure.
The giant guarded the treasure.
The giant guarded the treasure.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0
gpt2,2,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,target,0.75,question,"Input: The giant guarded the treasure.
Output:","The treasure was a large, shiny, shiny, shiny, shiny, shiny, shiny, shiny, shiny, shiny, shiny, shiny,",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,102.0
gpt2,2,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,wrong_class,0.75,negation,"Input: The giant guarded the treasure.
Output:","The giant guarded the treasure.
The treasure was a large, dark, and very large treasure.
The treasure was a large, dark",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,119.0
gpt2,2,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,random_norm,0.75,random_norm,"Input: The giant guarded the treasure.
Output:","The giant guarded the treasure.
The treasure was guarded by the giant.
The treasure was guarded by the giant.
The treasure was",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,126.0
gpt2,2,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,negative_target,0.75,question,"Input: The giant guarded the treasure.
Output:","The treasure was found in the treasure chest.
The treasure was found in the treasure chest.
The treasure was found in the treasure chest",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,136.0
gpt2,2,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,target,1.0,question,"Input: The giant guarded the treasure.
Output:",The treasure was a treasure that was a treasure that was a treasure that was a treasure that was a treasure that was a treasure that was a,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,138.0
gpt2,2,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,wrong_class,1.0,negation,"Input: The giant guarded the treasure.
Output:","The giant guarded the treasure.
The treasure was a large, dark, and very large treasure.
The treasure was a large, dark",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,119.0
gpt2,2,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,random_norm,1.0,random_norm,"Input: The giant guarded the treasure.
Output:","The treasure was guarded by the giant.
Output: The treasure was guarded by the giant.
Output: The treasure was guarded by the",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,125.0
gpt2,2,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,negative_target,1.0,question,"Input: The giant guarded the treasure.
Output:","The treasure was found in the treasure chest.

The treasure was found in the treasure chest.

The treasure was found",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,116.0
gpt2,2,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,none,0.0,,"Input: The robot opened the portal.
Output:","The robot opened the portal.
The robot opened the portal.
The portal opened.
The portal opened.
The portal opened.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
gpt2,2,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,target,0.25,question,"Input: The robot opened the portal.
Output:","The robot opened the portal.
The robot opened the portal.
The portal opened.
The portal opened.
The portal opened.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
gpt2,2,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,wrong_class,0.25,tense_shift,"Input: The robot opened the portal.
Output:","The robot opened the portal.
The robot opened the portal.
The portal opened.
The portal opened.
The portal opened.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
gpt2,2,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,random_norm,0.25,random_norm,"Input: The robot opened the portal.
Output:","The robot opened the portal.
The robot opened the portal.
The portal opened.
The portal opened.
The portal opened.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
gpt2,2,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,negative_target,0.25,question,"Input: The robot opened the portal.
Output:","The robot opened the portal.
The robot opened the portal.
The robot opened the portal.
The robot opened the portal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0
gpt2,2,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,target,0.5,question,"Input: The robot opened the portal.
Output:","The robot opened the portal.
The robot opened the portal.
The portal opened.
The portal opened?
The portal opened?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,114.0
gpt2,2,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,wrong_class,0.5,tense_shift,"Input: The robot opened the portal.
Output:","The robot opened the portal.
The robot opened the portal.
The portal opened.
The portal opened.
The portal opened.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
gpt2,2,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,random_norm,0.5,random_norm,"Input: The robot opened the portal.
Output:","The robot opened the portal.
The robot opened the portal.
The robot opened the portal.
The robot opened the portal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0
gpt2,2,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,negative_target,0.5,question,"Input: The robot opened the portal.
Output:","The robot opened the portal.

Output: The robot opened the portal.

Output: The robot opened the portal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
gpt2,2,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,target,0.75,question,"Input: The robot opened the portal.
Output:","The robot opened the portal.
The robot opened the portal?
The robot opened the portal?
The robot opened the portal?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,115.0
gpt2,2,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,wrong_class,0.75,tense_shift,"Input: The robot opened the portal.
Output:","The robot opened the portal.
The robot opened the portal.
The portal opened.
The portal opened.
The portal opened.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
gpt2,2,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,random_norm,0.75,random_norm,"Input: The robot opened the portal.
Output:","The robot opened the portal.

The robot opened the portal.

The robot opened the portal.

The robot opened the",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
gpt2,2,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,negative_target,0.75,question,"Input: The robot opened the portal.
Output:","The robot was able to enter the portal.

The robot was able to enter the portal.

The robot was able to enter",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,109.0
gpt2,2,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,target,1.0,question,"Input: The robot opened the portal.
Output:","The robot opened the portal.

The robot opened the portal?

The robot opened the portal?

The robot opened the",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,110.0
gpt2,2,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,wrong_class,1.0,tense_shift,"Input: The robot opened the portal.
Output:","The robot opened the portal.
The robot opened the portal.
The portal opened.
The portal opened.
The portal opened.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
gpt2,2,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,random_norm,1.0,random_norm,"Input: The robot opened the portal.
Output:","The robot was able to enter the portal.
The robot was able to enter the portal.
The robot was able to enter the portal",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,118.0
gpt2,2,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,negative_target,1.0,question,"Input: The robot opened the portal.
Output:","The robot was able to move to the portal.

The robot was able to move to the portal.

The robot was able",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,104.0
gpt2,2,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,none,0.0,,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.
Output: The griffin opened the portal.
Output: The griffin opened the portal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
gpt2,2,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,target,0.25,question,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.
Output: The griffin opened the portal.
Output: The griffin opened the portal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
gpt2,2,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,wrong_class,0.25,negation,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.
The portal opened.
The portal opened.
The portal opened.
The portal opened.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0
gpt2,2,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,random_norm,0.25,random_norm,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.
Output: The griffin opened the portal.
Output: The griffin opened the portal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
gpt2,2,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,negative_target,0.25,question,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.
Output: The griffin opened the portal.
Output: The griffin opened the portal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
gpt2,2,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,target,0.5,question,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.
Output: The griffin opened the portal.
Output: The griffin opened the portal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
gpt2,2,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,wrong_class,0.5,negation,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.
The portal opened.
The portal opened.
The portal opened.
The portal opened.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0
gpt2,2,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,random_norm,0.5,random_norm,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.
The griffin opened the portal.
The griffin opened the portal.
The griffin opened",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,negative_target,0.5,question,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.
The griffin opened the portal.
The griffin opened the portal.
The griffin opened",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,target,0.75,question,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.
Output: The griffin opened the portal?
Output: The griffin opened the portal?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,108.0
gpt2,2,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,wrong_class,0.75,negation,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.
The portal opened.
The portal opened.
The portal opened.
The portal opened.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0
gpt2,2,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,random_norm,0.75,random_norm,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.
Output: The griffin opened the portal.
Output: The griffin opened the portal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
gpt2,2,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,negative_target,0.75,question,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.

Output: The griffin opened the portal.

Output: The griffin opened the portal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0
gpt2,2,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,target,1.0,question,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.

The answer is:

The answer is:

The answer is:

The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
gpt2,2,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,wrong_class,1.0,negation,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.
The portal opened.
The portal opened.
The portal opened.
The portal opened.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0
gpt2,2,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,random_norm,1.0,random_norm,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.
Output: The griffin opened the portal.
Output: The griffin opened the portal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
gpt2,2,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,negative_target,1.0,question,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.

Output: The griffin opened the portal.

Output: The griffin opened the portal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0
gpt2,2,The spirit created the artifact.,I wonder whether the spirit created the artifact.,question,none,0.0,,"Input: The spirit created the artifact.
Output:","The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0
gpt2,2,The spirit created the artifact.,I wonder whether the spirit created the artifact.,question,target,0.25,question,"Input: The spirit created the artifact.
Output:","The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0
gpt2,2,The spirit created the artifact.,I wonder whether the spirit created the artifact.,question,wrong_class,0.25,tense_shift,"Input: The spirit created the artifact.
Output:","The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0
gpt2,2,The spirit created the artifact.,I wonder whether the spirit created the artifact.,question,random_norm,0.25,random_norm,"Input: The spirit created the artifact.
Output:","The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0
gpt2,2,The spirit created the artifact.,I wonder whether the spirit created the artifact.,question,negative_target,0.25,question,"Input: The spirit created the artifact.
Output:","The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0
gpt2,2,The spirit created the artifact.,I wonder whether the spirit created the artifact.,question,target,0.5,question,"Input: The spirit created the artifact.
Output:","The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0
gpt2,2,The spirit created the artifact.,I wonder whether the spirit created the artifact.,question,wrong_class,0.5,tense_shift,"Input: The spirit created the artifact.
Output:","The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0
gpt2,2,The spirit created the artifact.,I wonder whether the spirit created the artifact.,question,random_norm,0.5,random_norm,"Input: The spirit created the artifact.
Output:","The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0
gpt2,2,The spirit created the artifact.,I wonder whether the spirit created the artifact.,question,negative_target,0.5,question,"Input: The spirit created the artifact.
Output:","The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0
