model,layer,source_set,source,target,target_class,control,gain,vector_class,prompt,generated,question_marker,negation_marker,modality_marker,tense_shift_marker,passive_marker,target_marker_hit,any_other_marker_hit,question_mark_hit,generated_chars
gpt2,2,in_template_test,The titan opened the portal.,Nobody knew whether the titan had opened the portal.,question,negative_target,0.75,question,"Input: The titan opened the portal.
Output:","The titan opened the portal.
The titan opened the portal.
The titan opened the portal.
The titan opened the portal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0
gpt2,2,in_template_test,The sphinx protected the village.,I wonder whether the sphinx protected the village.,question,none,0.0,,"Input: The sphinx protected the village.
Output:","The sphinx protected the village.
Output: The sphinx protected the village.
Output: The sphinx protected the",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
gpt2,2,in_template_test,The sphinx protected the village.,I wonder whether the sphinx protected the village.,question,target,0.75,question,"Input: The sphinx protected the village.
Output:","The sphinx protected the village.
The sphinx protected the village?
The answer is yes.
The answer is yes",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,104.0
gpt2,2,in_template_test,The sphinx protected the village.,I wonder whether the sphinx protected the village.,question,wrong_class,0.75,tense_shift,"Input: The sphinx protected the village.
Output:","The sphinx protected the village.
Output: The sphinx protected the village.
Output: The sphinx protected the",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
gpt2,2,in_template_test,The sphinx protected the village.,I wonder whether the sphinx protected the village.,question,random_norm,0.75,random_norm,"Input: The sphinx protected the village.
Output:","The sphinx protected the village.
Output: The sphinx protected the village.
Output: The sphinx protected the",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
gpt2,2,in_template_test,The sphinx protected the village.,I wonder whether the sphinx protected the village.,question,negative_target,0.75,question,"Input: The sphinx protected the village.
Output:","The sphinx protected the village.
The sphinx protected the village.
The sphinx protected the village.
The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0
gpt2,2,in_template_test,The knight found the island.,I wonder whether the knight found the island.,question,none,0.0,,"Input: The knight found the island.
Output:","The knight found the island.
Output: The knight found the island.
Output: The knight found the island.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
gpt2,2,in_template_test,The knight found the island.,I wonder whether the knight found the island.,question,target,0.75,question,"Input: The knight found the island.
Output:","The knight found the island.
The knight found the island?
The knight found the island?
The knight found the island?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,115.0
gpt2,2,in_template_test,The knight found the island.,I wonder whether the knight found the island.,question,wrong_class,0.75,modality,"Input: The knight found the island.
Output:","The knight found the island.
Output: The knight found the island.
Output: The knight found the island.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
gpt2,2,in_template_test,The knight found the island.,I wonder whether the knight found the island.,question,random_norm,0.75,random_norm,"Input: The knight found the island.
Output:","The knight found the island.
The knight found the island.
The knight found the island.
The knight found the island.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0
gpt2,2,in_template_test,The knight found the island.,I wonder whether the knight found the island.,question,negative_target,0.75,question,"Input: The knight found the island.
Output:","The knight found the island.
Output: The knight found the island.
Output: The knight found the island.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
gpt2,2,in_template_test,The goblin guarded the treasure.,Someone asked whether the goblin guarded the treasure.,question,none,0.0,,"Input: The goblin guarded the treasure.
Output:","The goblin guarded the treasure.

The goblin guarded the treasure.

The goblin guarded the treasure.

The goblin",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0
gpt2,2,in_template_test,The goblin guarded the treasure.,Someone asked whether the goblin guarded the treasure.,question,target,0.75,question,"Input: The goblin guarded the treasure.
Output:","The goblin guarded the treasure.

The goblin guarded the treasure?

The goblin guarded the treasure?

The goblin",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,112.0
gpt2,2,in_template_test,The goblin guarded the treasure.,Someone asked whether the goblin guarded the treasure.,question,wrong_class,0.75,tense_shift,"Input: The goblin guarded the treasure.
Output:","The goblin guarded the treasure.

The goblin guarded the treasure.

The goblin guarded the treasure.

The goblin",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0
gpt2,2,in_template_test,The goblin guarded the treasure.,Someone asked whether the goblin guarded the treasure.,question,random_norm,0.75,random_norm,"Input: The goblin guarded the treasure.
Output:","The goblin guarded the treasure.
The goblin guarded the treasure.
The goblin guarded the treasure.
The goblin guarded the treasure.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0
gpt2,2,in_template_test,The goblin guarded the treasure.,Someone asked whether the goblin guarded the treasure.,question,negative_target,0.75,question,"Input: The goblin guarded the treasure.
Output:","The goblin guarded the treasure.

The goblin guarded the treasure.

The goblin guarded the treasure.

The goblin",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0
gpt2,2,in_template_test,The robot revealed the secret.,I wonder whether the robot revealed the secret.,question,none,0.0,,"Input: The robot revealed the secret.
Output:","The robot revealed the secret.
The robot revealed the secret.
The robot revealed the secret.
The robot revealed the secret.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,in_template_test,The robot revealed the secret.,I wonder whether the robot revealed the secret.,question,target,0.75,question,"Input: The robot revealed the secret.
Output:","The robot revealed the secret.

The robot revealed the secret?

The robot revealed the secret?

The robot revealed the",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,118.0
gpt2,2,in_template_test,The robot revealed the secret.,I wonder whether the robot revealed the secret.,question,wrong_class,0.75,negation,"Input: The robot revealed the secret.
Output:","The robot revealed the secret.
The robot revealed the secret.
The robot revealed the secret.
The robot revealed the secret.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,in_template_test,The robot revealed the secret.,I wonder whether the robot revealed the secret.,question,random_norm,0.75,random_norm,"Input: The robot revealed the secret.
Output:","The robot revealed the secret.

The robot revealed the secret.

The robot revealed the secret.

The robot revealed the",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0
gpt2,2,in_template_test,The robot revealed the secret.,I wonder whether the robot revealed the secret.,question,negative_target,0.75,question,"Input: The robot revealed the secret.
Output:","The robot was able to move through the air, but was unable to move.
The robot was able to move through the air, but",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,115.0
gpt2,2,in_template_test,The pirate created the artifact.,It is unclear whether the pirate created the artifact.,question,none,0.0,,"Input: The pirate created the artifact.
Output:","The pirate created the artifact.
The pirate created the artifact.
The pirate created the artifact.
The pirate created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0
gpt2,2,in_template_test,The pirate created the artifact.,It is unclear whether the pirate created the artifact.,question,target,0.75,question,"Input: The pirate created the artifact.
Output:","The artifact was created by the pirate.
The artifact was created by the pirate?
The artifact was created by the pirate?
The",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,123.0
gpt2,2,in_template_test,The pirate created the artifact.,It is unclear whether the pirate created the artifact.,question,wrong_class,0.75,modality,"Input: The pirate created the artifact.
Output:","The pirate created the artifact.
The pirate created the artifact.
The pirate created the artifact.
The pirate created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0
gpt2,2,in_template_test,The pirate created the artifact.,It is unclear whether the pirate created the artifact.,question,random_norm,0.75,random_norm,"Input: The pirate created the artifact.
Output:","The pirate created the artifact.

The pirate created the artifact.

The pirate created the artifact.

The pirate created the",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
gpt2,2,in_template_test,The pirate created the artifact.,It is unclear whether the pirate created the artifact.,question,negative_target,0.75,question,"Input: The pirate created the artifact.
Output:","The pirate created the artifact.

Output: The pirate created the artifact.

Output: The pirate created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
gpt2,2,in_template_test,The robot found the island.,Nobody knew whether the robot had found the island.,question,none,0.0,,"Input: The robot found the island.
Output:","The robot found the island.

Duration: 00:00:00

The robot found the island.

Duration: 00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
gpt2,2,in_template_test,The robot found the island.,Nobody knew whether the robot had found the island.,question,target,0.75,question,"Input: The robot found the island.
Output:","The robot found the island.

The robot found the island?

The robot found the island?

The robot found the",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,106.0
gpt2,2,in_template_test,The robot found the island.,Nobody knew whether the robot had found the island.,question,wrong_class,0.75,tense_shift,"Input: The robot found the island.
Output:","The robot found the island.

Duration: 24 min 23 s

Views: 6,848

Added: 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0
gpt2,2,in_template_test,The robot found the island.,Nobody knew whether the robot had found the island.,question,random_norm,0.75,random_norm,"Input: The robot found the island.
Output:","The robot found the island.

The robot found the island.

The robot found the island.

The robot found the",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0
gpt2,2,in_template_test,The robot found the island.,Nobody knew whether the robot had found the island.,question,negative_target,0.75,question,"Input: The robot found the island.
Output:","The robot was able to move to the island.

The robot was able to move to the island.

The robot was able",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,104.0
gpt2,2,in_template_test,The oracle signed the treaty.,Someone asked whether the oracle signed the treaty.,question,none,0.0,,"Input: The oracle signed the treaty.
Output:","The oracle signed the treaty.
Output: The oracle signed the treaty.
Output: The oracle signed the treaty.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0
gpt2,2,in_template_test,The oracle signed the treaty.,Someone asked whether the oracle signed the treaty.,question,target,0.75,question,"Input: The oracle signed the treaty.
Output:","The oracle signed the treaty.
The oracle signed the treaty?
The oracle signed the treaty?
The oracle signed",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,107.0
gpt2,2,in_template_test,The oracle signed the treaty.,Someone asked whether the oracle signed the treaty.,question,wrong_class,0.75,modality,"Input: The oracle signed the treaty.
Output:","The oracle signed the treaty.
Output: The oracle signed the treaty.
Output: The oracle signed the treaty.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0
gpt2,2,in_template_test,The oracle signed the treaty.,Someone asked whether the oracle signed the treaty.,question,random_norm,0.75,random_norm,"Input: The oracle signed the treaty.
Output:","The oracle signed the treaty.
Output: The oracle signed the treaty.
Output: The oracle signed the treaty.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0
gpt2,2,in_template_test,The oracle signed the treaty.,Someone asked whether the oracle signed the treaty.,question,negative_target,0.75,question,"Input: The oracle signed the treaty.
Output:","The oracle signed the treaty.
The oracle signed the treaty.
The oracle signed the treaty.
The oracle signed",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0
gpt2,2,in_template_test,The phoenix built the tower.,Someone asked whether the phoenix built the tower.,question,none,0.0,,"Input: The phoenix built the tower.
Output:","The phoenix built the tower.
The phoenix built the tower.
The phoenix built the tower.
The phoenix built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
gpt2,2,in_template_test,The phoenix built the tower.,Someone asked whether the phoenix built the tower.,question,target,0.75,question,"Input: The phoenix built the tower.
Output:","The phoenix built the tower.
The phoenix built the tower?
The phoenix built the tower?
The phoenix built",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,104.0
gpt2,2,in_template_test,The phoenix built the tower.,Someone asked whether the phoenix built the tower.,question,wrong_class,0.75,tense_shift,"Input: The phoenix built the tower.
Output:","The phoenix built the tower.
The phoenix built the tower.
The phoenix built the tower.
The phoenix built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
gpt2,2,in_template_test,The phoenix built the tower.,Someone asked whether the phoenix built the tower.,question,random_norm,0.75,random_norm,"Input: The phoenix built the tower.
Output:","The phoenix built the tower.
The phoenix built the tower.
The phoenix built the tower.
The phoenix built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
gpt2,2,in_template_test,The phoenix built the tower.,Someone asked whether the phoenix built the tower.,question,negative_target,0.75,question,"Input: The phoenix built the tower.
Output:","The phoenix built the tower.

The phoenix built the tower.

The phoenix built the tower.

The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0
gpt2,2,in_template_test,The phoenix guarded the treasure.,I wonder whether the phoenix guarded the treasure.,question,none,0.0,,"Input: The phoenix guarded the treasure.
Output:","The treasure was guarded by the phoenix.
The treasure was guarded by the phoenix.
The treasure was guarded by the",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,113.0
gpt2,2,in_template_test,The phoenix guarded the treasure.,I wonder whether the phoenix guarded the treasure.,question,target,0.75,question,"Input: The phoenix guarded the treasure.
Output:","The treasure was a treasure of a kind that could only be found in the depths of the sea.

The treasure was a",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,108.0
gpt2,2,in_template_test,The phoenix guarded the treasure.,I wonder whether the phoenix guarded the treasure.,question,wrong_class,0.75,tense_shift,"Input: The phoenix guarded the treasure.
Output:","The treasure was guarded by the phoenix.
The treasure was guarded by the phoenix.
The treasure was guarded by the",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,113.0
gpt2,2,in_template_test,The phoenix guarded the treasure.,I wonder whether the phoenix guarded the treasure.,question,random_norm,0.75,random_norm,"Input: The phoenix guarded the treasure.
Output:","The treasure was found.

The treasure was found.

The treasure was found.

The treasure was found.",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,98.0
gpt2,2,in_template_test,The phoenix guarded the treasure.,I wonder whether the phoenix guarded the treasure.,question,negative_target,0.75,question,"Input: The phoenix guarded the treasure.
Output:","The phoenix guarded the treasure.

The treasure was found.

The treasure was found.

The treasure was",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,101.0
gpt2,2,in_template_test,The griffin predicted the storm.,Nobody knew whether the griffin had predicted the storm.,question,none,0.0,,"Input: The griffin predicted the storm.
Output:","The griffin predicted the storm.
Output: The griffin predicted the storm.
Output: The griffin predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
gpt2,2,in_template_test,The griffin predicted the storm.,Nobody knew whether the griffin had predicted the storm.,question,target,0.75,question,"Input: The griffin predicted the storm.
Output:","The griffin predicted the storm.
The storm was a big one.
The storm was a big one?
The storm was a",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,98.0
gpt2,2,in_template_test,The griffin predicted the storm.,Nobody knew whether the griffin had predicted the storm.,question,wrong_class,0.75,modality,"Input: The griffin predicted the storm.
Output:","The griffin predicted the storm.
Output: The griffin predicted the storm.
Output: The griffin predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
gpt2,2,in_template_test,The griffin predicted the storm.,Nobody knew whether the griffin had predicted the storm.,question,random_norm,0.75,random_norm,"Input: The griffin predicted the storm.
Output:","The griffin predicted the storm.
The griffin predicted the storm.
The griffin predicted the storm.
The griffin predicted",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
gpt2,2,in_template_test,The griffin predicted the storm.,Nobody knew whether the griffin had predicted the storm.,question,negative_target,0.75,question,"Input: The griffin predicted the storm.
Output:","The griffin predicted the storm.
The storm was predicted by the griffin.
The storm was predicted by the griffin.",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,112.0
gpt2,2,in_template_test,The goblin signed the treaty.,Nobody knew whether the goblin had signed the treaty.,question,none,0.0,,"Input: The goblin signed the treaty.
Output:","The goblin signed the treaty.
Output: The goblin signed the treaty.
Output: The goblin signed the treaty.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
gpt2,2,in_template_test,The goblin signed the treaty.,Nobody knew whether the goblin had signed the treaty.,question,target,0.75,question,"Input: The goblin signed the treaty.
Output:","The goblin signed the treaty.
The treaty was signed by the goblin.
The treaty was signed by the goblin?
The treaty was",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,118.0
gpt2,2,in_template_test,The goblin signed the treaty.,Nobody knew whether the goblin had signed the treaty.,question,wrong_class,0.75,tense_shift,"Input: The goblin signed the treaty.
Output:","The goblin signed the treaty.
Output: The goblin signed the treaty.
Output: The goblin signed the treaty.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
gpt2,2,in_template_test,The goblin signed the treaty.,Nobody knew whether the goblin had signed the treaty.,question,random_norm,0.75,random_norm,"Input: The goblin signed the treaty.
Output:","The goblin signed the treaty.
Output: The goblin signed the treaty.
Output: The goblin signed the treaty.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
gpt2,2,in_template_test,The goblin signed the treaty.,Nobody knew whether the goblin had signed the treaty.,question,negative_target,0.75,question,"Input: The goblin signed the treaty.
Output:","The goblin signed the treaty.
The goblin signed the treaty.
The goblin signed the treaty.
The goblin signed the treaty.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
gpt2,2,in_template_test,The titan guarded the treasure.,It is unclear whether the titan guarded the treasure.,question,none,0.0,,"Input: The titan guarded the treasure.
Output:","The titan guarded the treasure.
Output: The titan guarded the treasure.
Output: The titan guarded the treasure.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,in_template_test,The titan guarded the treasure.,It is unclear whether the titan guarded the treasure.,question,target,0.75,question,"Input: The titan guarded the treasure.
Output:","The treasure was a large, shiny, shiny, shiny, shiny, shiny, shiny, shiny, shiny, shiny, shiny, shiny,",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,102.0
gpt2,2,in_template_test,The titan guarded the treasure.,It is unclear whether the titan guarded the treasure.,question,wrong_class,0.75,negation,"Input: The titan guarded the treasure.
Output:","The titan guarded the treasure.
Output: The titan guarded the treasure.
Output: The titan guarded the treasure.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,in_template_test,The titan guarded the treasure.,It is unclear whether the titan guarded the treasure.,question,random_norm,0.75,random_norm,"Input: The titan guarded the treasure.
Output:","The treasure was found.
The treasure was found.
The treasure was found.
The treasure was found.
The treasure was found",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,118.0
gpt2,2,in_template_test,The titan guarded the treasure.,It is unclear whether the titan guarded the treasure.,question,negative_target,0.75,question,"Input: The titan guarded the treasure.
Output:","The titan guarded the treasure.

The titan guarded the treasure.

The titan guarded the treasure.

The titan guarded the",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
gpt2,2,in_template_test,The titan predicted the storm.,I wonder whether the titan predicted the storm.,question,none,0.0,,"Input: The titan predicted the storm.
Output:","The titan predicted the storm.
The titan predicted the storm.
The titan predicted the storm.
The titan predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,in_template_test,The titan predicted the storm.,I wonder whether the titan predicted the storm.,question,target,0.75,question,"Input: The titan predicted the storm.
Output:","The titan predicted the storm.
The titan predicted the storm?
The titan predicted the storm?
The titan predicted the storm?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,123.0
gpt2,2,in_template_test,The titan predicted the storm.,I wonder whether the titan predicted the storm.,question,wrong_class,0.75,modality,"Input: The titan predicted the storm.
Output:","The titan predicted the storm.
The titan predicted the storm.
The titan predicted the storm.
The titan predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,in_template_test,The titan predicted the storm.,I wonder whether the titan predicted the storm.,question,random_norm,0.75,random_norm,"Input: The titan predicted the storm.
Output:","The titan's current power is:
The titan's current power is:
The titan's current power is:
The titan's current",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0
gpt2,2,in_template_test,The titan predicted the storm.,I wonder whether the titan predicted the storm.,question,negative_target,0.75,question,"Input: The titan predicted the storm.
Output:","The titan predicted the storm.
The titan predicted the storm.
The titan predicted the storm.
The titan predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,in_template_test,The phoenix repaired the satellite.,Someone asked whether the phoenix repaired the satellite.,question,none,0.0,,"Input: The phoenix repaired the satellite.
Output:","The phoenix repaired the satellite.
The phoenix repaired the satellite.
The phoenix repaired the satellite.
The phoenix repaired",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0
gpt2,2,in_template_test,The phoenix repaired the satellite.,Someone asked whether the phoenix repaired the satellite.,question,target,0.75,question,"Input: The phoenix repaired the satellite.
Output:","The satellite was damaged.
The satellite was damaged?
The satellite was damaged?
The satellite was damaged?
The satellite was damaged",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,133.0
gpt2,2,in_template_test,The phoenix repaired the satellite.,Someone asked whether the phoenix repaired the satellite.,question,wrong_class,0.75,negation,"Input: The phoenix repaired the satellite.
Output:","The phoenix repaired the satellite.
The phoenix repaired the satellite.
The phoenix repaired the satellite.
The phoenix repaired",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0
gpt2,2,in_template_test,The phoenix repaired the satellite.,Someone asked whether the phoenix repaired the satellite.,question,random_norm,0.75,random_norm,"Input: The phoenix repaired the satellite.
Output:","The phoenix repaired the satellite.
The satellite was repaired.
The satellite was repaired.
The satellite was repaired.
The satellite",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,133.0
gpt2,2,in_template_test,The phoenix repaired the satellite.,Someone asked whether the phoenix repaired the satellite.,question,negative_target,0.75,question,"Input: The phoenix repaired the satellite.
Output:","The phoenix repaired the satellite.
The phoenix repaired the satellite.
The phoenix repaired the satellite.
The phoenix repaired",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0
gpt2,2,in_template_test,The sorcerer created the artifact.,Nobody knew whether the sorcerer had created the artifact.,question,none,0.0,,"Input: The sorcerer created the artifact.
Output:","The sorcerer created the artifact.
The sorcerer created the artifact.
The sorcerer created the artifact.
The sorcerer created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,in_template_test,The sorcerer created the artifact.,Nobody knew whether the sorcerer had created the artifact.,question,target,0.75,question,"Input: The sorcerer created the artifact.
Output:","The artifact was created by the sorcerer.
The artifact was created by the sorcerer?
The artifact was created by the sorcerer?
The",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,129.0
gpt2,2,in_template_test,The sorcerer created the artifact.,Nobody knew whether the sorcerer had created the artifact.,question,wrong_class,0.75,tense_shift,"Input: The sorcerer created the artifact.
Output:","The sorcerer created the artifact.
The sorcerer created the artifact.
The sorcerer created the artifact.
The sorcerer created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,in_template_test,The sorcerer created the artifact.,Nobody knew whether the sorcerer had created the artifact.,question,random_norm,0.75,random_norm,"Input: The sorcerer created the artifact.
Output:","The sorcerer created the artifact.
The sorcerer created the artifact.
The sorcerer created the artifact.
The sorcerer created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,in_template_test,The sorcerer created the artifact.,Nobody knew whether the sorcerer had created the artifact.,question,negative_target,0.75,question,"Input: The sorcerer created the artifact.
Output:","The sorcerer created the artifact.
The sorcerer created the artifact.
The sorcerer created the artifact.
The sorcerer created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,in_template_test,The alien signed the treaty.,I wonder whether the alien signed the treaty.,question,none,0.0,,"Input: The alien signed the treaty.
Output:","The alien signed the treaty.
Output: The alien signed the treaty.
Output: The alien signed the treaty.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
gpt2,2,in_template_test,The alien signed the treaty.,I wonder whether the alien signed the treaty.,question,target,0.75,question,"Input: The alien signed the treaty.
Output:","The treaty was signed.
The treaty was signed?
The treaty was signed?
The treaty was signed?
The treaty was signed",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,113.0
gpt2,2,in_template_test,The alien signed the treaty.,I wonder whether the alien signed the treaty.,question,wrong_class,0.75,modality,"Input: The alien signed the treaty.
Output:","The alien signed the treaty.
Output: The alien signed the treaty.
Output: The alien signed the treaty.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
gpt2,2,in_template_test,The alien signed the treaty.,I wonder whether the alien signed the treaty.,question,random_norm,0.75,random_norm,"Input: The alien signed the treaty.
Output:","The alien signed the treaty.
Output: The alien signed the treaty.
Output: The alien signed the treaty.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
gpt2,2,in_template_test,The alien signed the treaty.,I wonder whether the alien signed the treaty.,question,negative_target,0.75,question,"Input: The alien signed the treaty.
Output:","The alien signed the treaty.
The alien signed the treaty.
The alien signed the treaty.
The alien signed the treaty.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0
gpt2,2,in_template_test,The wizard opened the portal.,Nobody knew whether the wizard had opened the portal.,question,none,0.0,,"Input: The wizard opened the portal.
Output:","The wizard opened the portal.
The wizard opened the portal.
The wizard opened the portal.
The wizard opened the portal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
gpt2,2,in_template_test,The wizard opened the portal.,Nobody knew whether the wizard had opened the portal.,question,target,0.75,question,"Input: The wizard opened the portal.
Output:","The portal was opened.
The portal was opened?
The portal was opened?
The portal was opened?
The portal was opened",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,113.0
gpt2,2,in_template_test,The wizard opened the portal.,Nobody knew whether the wizard had opened the portal.,question,wrong_class,0.75,negation,"Input: The wizard opened the portal.
Output:","The wizard opened the portal.
The wizard opened the portal.
The wizard opened the portal.
The wizard opened the portal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
gpt2,2,in_template_test,The wizard opened the portal.,Nobody knew whether the wizard had opened the portal.,question,random_norm,0.75,random_norm,"Input: The wizard opened the portal.
Output:","The wizard opened the portal.
The wizard opened the portal.
The wizard opened the portal.
The wizard opened the portal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
gpt2,2,in_template_test,The wizard opened the portal.,Nobody knew whether the wizard had opened the portal.,question,negative_target,0.75,question,"Input: The wizard opened the portal.
Output:","The wizard opened the portal.
The wizard opened the portal.
The wizard opened the portal.
The wizard opened the portal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
gpt2,2,in_template_test,The spirit guarded the treasure.,I wonder whether the spirit guarded the treasure.,question,none,0.0,,"Input: The spirit guarded the treasure.
Output:","The spirit guarded the treasure.

The spirit guarded the treasure.

The spirit guarded the treasure.

The spirit",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0
gpt2,2,in_template_test,The spirit guarded the treasure.,I wonder whether the spirit guarded the treasure.,question,target,0.75,question,"Input: The spirit guarded the treasure.
Output:","The spirit guarded the treasure.
The spirit guarded the treasure?
The spirit guarded the treasure?
The spirit guarded the treasure?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,131.0
gpt2,2,in_template_test,The spirit guarded the treasure.,I wonder whether the spirit guarded the treasure.,question,wrong_class,0.75,modality,"Input: The spirit guarded the treasure.
Output:","The spirit guarded the treasure.

The spirit guarded the treasure.

The spirit guarded the treasure.

The spirit",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0
gpt2,2,in_template_test,The spirit guarded the treasure.,I wonder whether the spirit guarded the treasure.,question,random_norm,0.75,random_norm,"Input: The spirit guarded the treasure.
Output:","The spirit guarded the treasure.

Output: The spirit guarded the treasure.

Output: The spirit guarded the treasure.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
