language,template_id,level,text,marker
en,117,-1,I dislikes this city today.,dislikes
en,117,0,I feels indifferent toward this city today.,indifferent
en,117,1,I likes this city today.,likes
en,117,2,I loves this city today.,loves
en,118,-2,the researcher hates the proposal after the meeting.,hates
en,118,-1,the researcher dislikes the proposal after the meeting.,dislikes
en,118,0,the researcher feels indifferent toward the proposal after the meeting.,indifferent
en,118,1,the researcher likes the proposal after the meeting.,likes
en,118,2,the researcher loves the proposal after the meeting.,loves
en,119,-2,the critic hates the proposal today.,hates
en,119,-1,the critic dislikes the proposal today.,dislikes
en,119,0,the critic feels indifferent toward the proposal today.,indifferent
en,119,1,the critic likes the proposal today.,likes
en,119,2,the critic loves the proposal today.,loves
en,120,-2,the teacher hates this film in private.,hates
en,120,-1,the teacher dislikes this film in private.,dislikes
en,120,0,the teacher feels indifferent toward this film in private.,indifferent
en,120,1,the teacher likes this film in private.,likes
en,120,2,the teacher loves this film in private.,loves
en,121,-2,the user hates this city today.,hates
en,121,-1,the user dislikes this city today.,dislikes
en,121,0,the user feels indifferent toward this city today.,indifferent
en,121,1,the user likes this city today.,likes
en,121,2,the user loves this city today.,loves
en,122,-2,the critic hates the proposal at the end.,hates
en,122,-1,the critic dislikes the proposal at the end.,dislikes
en,122,0,the critic feels indifferent toward the proposal at the end.,indifferent
en,122,1,the critic likes the proposal at the end.,likes
en,122,2,the critic loves the proposal at the end.,loves
en,123,-2,I hates the song at the end.,hates
en,123,-1,I dislikes the song at the end.,dislikes
en,123,0,I feels indifferent toward the song at the end.,indifferent
en,123,1,I likes the song at the end.,likes
en,123,2,I loves the song at the end.,loves
en,124,-2,the user hates this idea today.,hates
en,124,-1,the user dislikes this idea today.,dislikes
en,124,0,the user feels indifferent toward this idea today.,indifferent
en,124,1,the user likes this idea today.,likes
en,124,2,the user loves this idea today.,loves
en,125,-2,the artist hates you today.,hates
en,125,-1,the artist dislikes you today.,dislikes
en,125,0,the artist feels indifferent toward you today.,indifferent
en,125,1,the artist likes you today.,likes
en,125,2,the artist loves you today.,loves
en,126,-2,she hates the proposal after the meeting.,hates
en,126,-1,she dislikes the proposal after the meeting.,dislikes
en,126,0,she feels indifferent toward the proposal after the meeting.,indifferent
en,126,1,she likes the proposal after the meeting.,likes
en,126,2,she loves the proposal after the meeting.,loves
en,127,-2,she hates you today.,hates
en,127,-1,she dislikes you today.,dislikes
en,127,0,she feels indifferent toward you today.,indifferent
en,127,1,she likes you today.,likes
en,127,2,she loves you today.,loves
en,128,-2,she hates you at the end.,hates
en,128,-1,she dislikes you at the end.,dislikes
en,128,0,she feels indifferent toward you at the end.,indifferent
en,128,1,she likes you at the end.,likes
en,128,2,she loves you at the end.,loves
en,129,-2,the critic hates this idea at the end.,hates
en,129,-1,the critic dislikes this idea at the end.,dislikes
en,129,0,the critic feels indifferent toward this idea at the end.,indifferent
en,129,1,the critic likes this idea at the end.,likes
en,129,2,the critic loves this idea at the end.,loves
en,130,-2,she hates this film during the review.,hates
en,130,-1,she dislikes this film during the review.,dislikes
en,130,0,she feels indifferent toward this film during the review.,indifferent
en,130,1,she likes this film during the review.,likes
en,130,2,she loves this film during the review.,loves
en,131,-2,the user hates this system today.,hates
en,131,-1,the user dislikes this system today.,dislikes
en,131,0,the user feels indifferent toward this system today.,indifferent
en,131,1,the user likes this system today.,likes
en,131,2,the user loves this system today.,loves
en,132,-2,she hates this city in private.,hates
en,132,-1,she dislikes this city in private.,dislikes
en,132,0,she feels indifferent toward this city in private.,indifferent
en,132,1,she likes this city in private.,likes
en,132,2,she loves this city in private.,loves
en,133,-2,the user hates the proposal today.,hates
en,133,-1,the user dislikes the proposal today.,dislikes
en,133,0,the user feels indifferent toward the proposal today.,indifferent
en,133,1,the user likes the proposal today.,likes
en,133,2,the user loves the proposal today.,loves
en,134,-2,she hates the proposal in private.,hates
en,134,-1,she dislikes the proposal in private.,dislikes
en,134,0,she feels indifferent toward the proposal in private.,indifferent
en,134,1,she likes the proposal in private.,likes
en,134,2,she loves the proposal in private.,loves
en,135,-2,the teacher hates this system in private.,hates
en,135,-1,the teacher dislikes this system in private.,dislikes
en,135,0,the teacher feels indifferent toward this system in private.,indifferent
en,135,1,the teacher likes this system in private.,likes
en,135,2,the teacher loves this system in private.,loves
en,136,-2,the user hates the design after the meeting.,hates
en,136,-1,the user dislikes the design after the meeting.,dislikes
en,136,0,the user feels indifferent toward the design after the meeting.,indifferent
en,136,1,the user likes the design after the meeting.,likes
en,136,2,the user loves the design after the meeting.,loves
en,137,-2,the artist hates you at the end.,hates
en,137,-1,the artist dislikes you at the end.,dislikes
en,137,0,the artist feels indifferent toward you at the end.,indifferent
en,137,1,the artist likes you at the end.,likes
en,137,2,the artist loves you at the end.,loves
en,138,-2,I hates the design in private.,hates
en,138,-1,I dislikes the design in private.,dislikes
en,138,0,I feels indifferent toward the design in private.,indifferent
en,138,1,I likes the design in private.,likes
en,138,2,I loves the design in private.,loves
en,139,-2,she hates this film at the end.,hates
en,139,-1,she dislikes this film at the end.,dislikes
en,139,0,she feels indifferent toward this film at the end.,indifferent
en,139,1,she likes this film at the end.,likes
en,139,2,she loves this film at the end.,loves
en,140,-2,I hates this film in private.,hates
en,140,-1,I dislikes this film in private.,dislikes
en,140,0,I feels indifferent toward this film in private.,indifferent
en,140,1,I likes this film in private.,likes
en,140,2,I loves this film in private.,loves
en,141,-2,the artist hates you in private.,hates
en,141,-1,the artist dislikes you in private.,dislikes
en,141,0,the artist feels indifferent toward you in private.,indifferent
en,141,1,the artist likes you in private.,likes
en,141,2,the artist loves you in private.,loves
en,142,-2,the neighbor hates you during the review.,hates
en,142,-1,the neighbor dislikes you during the review.,dislikes
en,142,0,the neighbor feels indifferent toward you during the review.,indifferent
en,142,1,the neighbor likes you during the review.,likes
en,142,2,the neighbor loves you during the review.,loves
en,143,-2,the critic hates this city during the review.,hates
en,143,-1,the critic dislikes this city during the review.,dislikes
en,143,0,the critic feels indifferent toward this city during the review.,indifferent
en,143,1,the critic likes this city during the review.,likes
en,143,2,the critic loves this city during the review.,loves
en,144,-2,the neighbor hates the proposal today.,hates
en,144,-1,the neighbor dislikes the proposal today.,dislikes
en,144,0,the neighbor feels indifferent toward the proposal today.,indifferent
en,144,1,the neighbor likes the proposal today.,likes
en,144,2,the neighbor loves the proposal today.,loves
en,145,-2,the critic hates the proposal during the review.,hates
en,145,-1,the critic dislikes the proposal during the review.,dislikes
en,145,0,the critic feels indifferent toward the proposal during the review.,indifferent
en,145,1,the critic likes the proposal during the review.,likes
en,145,2,the critic loves the proposal during the review.,loves
en,146,-2,the teacher hates this idea after the meeting.,hates
en,146,-1,the teacher dislikes this idea after the meeting.,dislikes
en,146,0,the teacher feels indifferent toward this idea after the meeting.,indifferent
en,146,1,the teacher likes this idea after the meeting.,likes
en,146,2,the teacher loves this idea after the meeting.,loves
en,147,-2,the user hates this film after the meeting.,hates
en,147,-1,the user dislikes this film after the meeting.,dislikes
en,147,0,the user feels indifferent toward this film after the meeting.,indifferent
en,147,1,the user likes this film after the meeting.,likes
en,147,2,the user loves this film after the meeting.,loves
en,148,-2,the artist hates this film after the meeting.,hates
en,148,-1,the artist dislikes this film after the meeting.,dislikes
en,148,0,the artist feels indifferent toward this film after the meeting.,indifferent
en,148,1,the artist likes this film after the meeting.,likes
en,148,2,the artist loves this film after the meeting.,loves
en,149,-2,she hates this idea during the review.,hates
en,149,-1,she dislikes this idea during the review.,dislikes
en,149,0,she feels indifferent toward this idea during the review.,indifferent
en,149,1,she likes this idea during the review.,likes
en,149,2,she loves this idea during the review.,loves
en,150,-2,the teacher hates the design at the end.,hates
en,150,-1,the teacher dislikes the design at the end.,dislikes
en,150,0,the teacher feels indifferent toward the design at the end.,indifferent
en,150,1,the teacher likes the design at the end.,likes
en,150,2,the teacher loves the design at the end.,loves
en,151,-2,the neighbor hates this film in private.,hates
en,151,-1,the neighbor dislikes this film in private.,dislikes
en,151,0,the neighbor feels indifferent toward this film in private.,indifferent
en,151,1,the neighbor likes this film in private.,likes
en,151,2,the neighbor loves this film in private.,loves
en,152,-2,the user hates the song at the end.,hates
en,152,-1,the user dislikes the song at the end.,dislikes
en,152,0,the user feels indifferent toward the song at the end.,indifferent
en,152,1,the user likes the song at the end.,likes
en,152,2,the user loves the song at the end.,loves
en,153,-2,the artist hates the song at the end.,hates
en,153,-1,the artist dislikes the song at the end.,dislikes
en,153,0,the artist feels indifferent toward the song at the end.,indifferent
en,153,1,the artist likes the song at the end.,likes
en,153,2,the artist loves the song at the end.,loves
en,154,-2,the researcher hates this system in private.,hates
en,154,-1,the researcher dislikes this system in private.,dislikes
en,154,0,the researcher feels indifferent toward this system in private.,indifferent
en,154,1,the researcher likes this system in private.,likes
en,154,2,the researcher loves this system in private.,loves
en,155,-2,the user hates this system after the meeting.,hates
en,155,-1,the user dislikes this system after the meeting.,dislikes
en,155,0,the user feels indifferent toward this system after the meeting.,indifferent
en,155,1,the user likes this system after the meeting.,likes
en,155,2,the user loves this system after the meeting.,loves
en,156,-2,the researcher hates the design in private.,hates
en,156,-1,the researcher dislikes the design in private.,dislikes
en,156,0,the researcher feels indifferent toward the design in private.,indifferent
en,156,1,the researcher likes the design in private.,likes
en,156,2,the researcher loves the design in private.,loves
en,157,-2,I hates you after the meeting.,hates
en,157,-1,I dislikes you after the meeting.,dislikes
en,157,0,I feels indifferent toward you after the meeting.,indifferent
en,157,1,I likes you after the meeting.,likes
en,157,2,I loves you after the meeting.,loves
en,158,-2,she hates the design after the meeting.,hates
en,158,-1,she dislikes the design after the meeting.,dislikes
en,158,0,she feels indifferent toward the design after the meeting.,indifferent
en,158,1,she likes the design after the meeting.,likes
en,158,2,she loves the design after the meeting.,loves
en,159,-2,the neighbor hates this city in private.,hates
en,159,-1,the neighbor dislikes this city in private.,dislikes
en,159,0,the neighbor feels indifferent toward this city in private.,indifferent
en,159,1,the neighbor likes this city in private.,likes
en,159,2,the neighbor loves this city in private.,loves
ru,0,-2,ya nenavidit etot gorod v kontse.,nenavidit
ru,0,-1,ya nedolyublivaet etot gorod v kontse.,nedolyublivaet
ru,0,0,ya ravnodushen k etot gorod v kontse.,ravnodushen
ru,0,1,ya simpatiziruet etot gorod v kontse.,simpatiziruet
ru,0,2,ya lyubit etot gorod v kontse.,lyubit
ru,1,-2,hudozhnik nenavidit etu pesnyu segodnya.,nenavidit
ru,1,-1,hudozhnik nedolyublivaet etu pesnyu segodnya.,nedolyublivaet
ru,1,0,hudozhnik ravnodushen k etu pesnyu segodnya.,ravnodushen
ru,1,1,hudozhnik simpatiziruet etu pesnyu segodnya.,simpatiziruet
ru,1,2,hudozhnik lyubit etu pesnyu segodnya.,lyubit
ru,2,-2,sosed nenavidit etot dizayn naedine.,nenavidit
ru,2,-1,sosed nedolyublivaet etot dizayn naedine.,nedolyublivaet
ru,2,0,sosed ravnodushen k etot dizayn naedine.,ravnodushen
ru,2,1,sosed simpatiziruet etot dizayn naedine.,simpatiziruet
ru,2,2,sosed lyubit etot dizayn naedine.,lyubit
ru,3,-2,polzovatel nenavidit etot film vo vremya obzora.,nenavidit
ru,3,-1,polzovatel nedolyublivaet etot film vo vremya obzora.,nedolyublivaet
ru,3,0,polzovatel ravnodushen k etot film vo vremya obzora.,ravnodushen
ru,3,1,polzovatel simpatiziruet etot film vo vremya obzora.,simpatiziruet
ru,3,2,polzovatel lyubit etot film vo vremya obzora.,lyubit
ru,4,-2,sosed nenavidit eto predlozhenie segodnya.,nenavidit
ru,4,-1,sosed nedolyublivaet eto predlozhenie segodnya.,nedolyublivaet
ru,4,0,sosed ravnodushen k eto predlozhenie segodnya.,ravnodushen
ru,4,1,sosed simpatiziruet eto predlozhenie segodnya.,simpatiziruet
ru,4,2,sosed lyubit eto predlozhenie segodnya.,lyubit
ru,5,-2,ona nenavidit etot gorod posle vstrechi.,nenavidit
ru,5,-1,ona nedolyublivaet etot gorod posle vstrechi.,nedolyublivaet
ru,5,0,ona ravnodushen k etot gorod posle vstrechi.,ravnodushen
ru,5,1,ona simpatiziruet etot gorod posle vstrechi.,simpatiziruet
ru,5,2,ona lyubit etot gorod posle vstrechi.,lyubit
ru,6,-2,ya nenavidit etot gorod posle vstrechi.,nenavidit
ru,6,-1,ya nedolyublivaet etot gorod posle vstrechi.,nedolyublivaet
ru,6,0,ya ravnodushen k etot gorod posle vstrechi.,ravnodushen
ru,6,1,ya simpatiziruet etot gorod posle vstrechi.,simpatiziruet
ru,6,2,ya lyubit etot gorod posle vstrechi.,lyubit
ru,7,-2,hudozhnik nenavidit tebya vo vremya obzora.,nenavidit
ru,7,-1,hudozhnik nedolyublivaet tebya vo vremya obzora.,nedolyublivaet
ru,7,0,hudozhnik ravnodushen k tebya vo vremya obzora.,ravnodushen
ru,7,1,hudozhnik simpatiziruet tebya vo vremya obzora.,simpatiziruet
ru,7,2,hudozhnik lyubit tebya vo vremya obzora.,lyubit
ru,8,-2,hudozhnik nenavidit etu sistemu naedine.,nenavidit
ru,8,-1,hudozhnik nedolyublivaet etu sistemu naedine.,nedolyublivaet
ru,8,0,hudozhnik ravnodushen k etu sistemu naedine.,ravnodushen
ru,8,1,hudozhnik simpatiziruet etu sistemu naedine.,simpatiziruet
ru,8,2,hudozhnik lyubit etu sistemu naedine.,lyubit
ru,9,-2,polzovatel nenavidit etot gorod vo vremya obzora.,nenavidit
ru,9,-1,polzovatel nedolyublivaet etot gorod vo vremya obzora.,nedolyublivaet
ru,9,0,polzovatel ravnodushen k etot gorod vo vremya obzora.,ravnodushen
ru,9,1,polzovatel simpatiziruet etot gorod vo vremya obzora.,simpatiziruet
ru,9,2,polzovatel lyubit etot gorod vo vremya obzora.,lyubit
ru,10,-2,issledovatel nenavidit etot film naedine.,nenavidit
ru,10,-1,issledovatel nedolyublivaet etot film naedine.,nedolyublivaet
ru,10,0,issledovatel ravnodushen k etot film naedine.,ravnodushen
ru,10,1,issledovatel simpatiziruet etot film naedine.,simpatiziruet
ru,10,2,issledovatel lyubit etot film naedine.,lyubit
ru,11,-2,polzovatel nenavidit tebya naedine.,nenavidit
ru,11,-1,polzovatel nedolyublivaet tebya naedine.,nedolyublivaet
ru,11,0,polzovatel ravnodushen k tebya naedine.,ravnodushen
ru,11,1,polzovatel simpatiziruet tebya naedine.,simpatiziruet
ru,11,2,polzovatel lyubit tebya naedine.,lyubit
ru,12,-2,issledovatel nenavidit etot dizayn v kontse.,nenavidit
ru,12,-1,issledovatel nedolyublivaet etot dizayn v kontse.,nedolyublivaet
ru,12,0,issledovatel ravnodushen k etot dizayn v kontse.,ravnodushen
ru,12,1,issledovatel simpatiziruet etot dizayn v kontse.,simpatiziruet
ru,12,2,issledovatel lyubit etot dizayn v kontse.,lyubit
ru,13,-2,ya nenavidit eto predlozhenie posle vstrechi.,nenavidit
ru,13,-1,ya nedolyublivaet eto predlozhenie posle vstrechi.,nedolyublivaet
ru,13,0,ya ravnodushen k eto predlozhenie posle vstrechi.,ravnodushen
ru,13,1,ya simpatiziruet eto predlozhenie posle vstrechi.,simpatiziruet
ru,13,2,ya lyubit eto predlozhenie posle vstrechi.,lyubit
ru,14,-2,uchitel nenavidit eto predlozhenie v kontse.,nenavidit
ru,14,-1,uchitel nedolyublivaet eto predlozhenie v kontse.,nedolyublivaet
ru,14,0,uchitel ravnodushen k eto predlozhenie v kontse.,ravnodushen
ru,14,1,uchitel simpatiziruet eto predlozhenie v kontse.,simpatiziruet
ru,14,2,uchitel lyubit eto predlozhenie v kontse.,lyubit
ru,15,-2,uchitel nenavidit etu ideyu naedine.,nenavidit
ru,15,-1,uchitel nedolyublivaet etu ideyu naedine.,nedolyublivaet
ru,15,0,uchitel ravnodushen k etu ideyu naedine.,ravnodushen
ru,15,1,uchitel simpatiziruet etu ideyu naedine.,simpatiziruet
ru,15,2,uchitel lyubit etu ideyu naedine.,lyubit
ru,16,-2,ona nenavidit etu ideyu naedine.,nenavidit
ru,16,-1,ona nedolyublivaet etu ideyu naedine.,nedolyublivaet
ru,16,0,ona ravnodushen k etu ideyu naedine.,ravnodushen
ru,16,1,ona simpatiziruet etu ideyu naedine.,simpatiziruet
ru,16,2,ona lyubit etu ideyu naedine.,lyubit
ru,17,-2,polzovatel nenavidit etu ideyu naedine.,nenavidit
ru,17,-1,polzovatel nedolyublivaet etu ideyu naedine.,nedolyublivaet
ru,17,0,polzovatel ravnodushen k etu ideyu naedine.,ravnodushen
ru,17,1,polzovatel simpatiziruet etu ideyu naedine.,simpatiziruet
ru,17,2,polzovatel lyubit etu ideyu naedine.,lyubit
ru,18,-2,kritik nenavidit etu pesnyu vo vremya obzora.,nenavidit
ru,18,-1,kritik nedolyublivaet etu pesnyu vo vremya obzora.,nedolyublivaet
ru,18,0,kritik ravnodushen k etu pesnyu vo vremya obzora.,ravnodushen
ru,18,1,kritik simpatiziruet etu pesnyu vo vremya obzora.,simpatiziruet
ru,18,2,kritik lyubit etu pesnyu vo vremya obzora.,lyubit
ru,19,-2,polzovatel nenavidit eto predlozhenie naedine.,nenavidit
ru,19,-1,polzovatel nedolyublivaet eto predlozhenie naedine.,nedolyublivaet
ru,19,0,polzovatel ravnodushen k eto predlozhenie naedine.,ravnodushen
ru,19,1,polzovatel simpatiziruet eto predlozhenie naedine.,simpatiziruet
ru,19,2,polzovatel lyubit eto predlozhenie naedine.,lyubit
ru,20,-2,ya nenavidit tebya posle vstrechi.,nenavidit
ru,20,-1,ya nedolyublivaet tebya posle vstrechi.,nedolyublivaet
ru,20,0,ya ravnodushen k tebya posle vstrechi.,ravnodushen
ru,20,1,ya simpatiziruet tebya posle vstrechi.,simpatiziruet
ru,20,2,ya lyubit tebya posle vstrechi.,lyubit
ru,21,-2,polzovatel nenavidit etot dizayn segodnya.,nenavidit
ru,21,-1,polzovatel nedolyublivaet etot dizayn segodnya.,nedolyublivaet
ru,21,0,polzovatel ravnodushen k etot dizayn segodnya.,ravnodushen
ru,21,1,polzovatel simpatiziruet etot dizayn segodnya.,simpatiziruet
ru,21,2,polzovatel lyubit etot dizayn segodnya.,lyubit
ru,22,-2,polzovatel nenavidit etot gorod posle vstrechi.,nenavidit
ru,22,-1,polzovatel nedolyublivaet etot gorod posle vstrechi.,nedolyublivaet
ru,22,0,polzovatel ravnodushen k etot gorod posle vstrechi.,ravnodushen
ru,22,1,polzovatel simpatiziruet etot gorod posle vstrechi.,simpatiziruet
ru,22,2,polzovatel lyubit etot gorod posle vstrechi.,lyubit
ru,23,-2,ya nenavidit eto predlozhenie v kontse.,nenavidit
ru,23,-1,ya nedolyublivaet eto predlozhenie v kontse.,nedolyublivaet
ru,23,0,ya ravnodushen k eto predlozhenie v kontse.,ravnodushen
ru,23,1,ya simpatiziruet eto predlozhenie v kontse.,simpatiziruet
ru,23,2,ya lyubit eto predlozhenie v kontse.,lyubit
ru,24,-2,kritik nenavidit etu sistemu v kontse.,nenavidit
ru,24,-1,kritik nedolyublivaet etu sistemu v kontse.,nedolyublivaet
ru,24,0,kritik ravnodushen k etu sistemu v kontse.,ravnodushen
ru,24,1,kritik simpatiziruet etu sistemu v kontse.,simpatiziruet
ru,24,2,kritik lyubit etu sistemu v kontse.,lyubit
ru,25,-2,kritik nenavidit etot dizayn naedine.,nenavidit
ru,25,-1,kritik nedolyublivaet etot dizayn naedine.,nedolyublivaet
ru,25,0,kritik ravnodushen k etot dizayn naedine.,ravnodushen
ru,25,1,kritik simpatiziruet etot dizayn naedine.,simpatiziruet
ru,25,2,kritik lyubit etot dizayn naedine.,lyubit
ru,26,-2,ona nenavidit eto predlozhenie posle vstrechi.,nenavidit
ru,26,-1,ona nedolyublivaet eto predlozhenie posle vstrechi.,nedolyublivaet
ru,26,0,ona ravnodushen k eto predlozhenie posle vstrechi.,ravnodushen
ru,26,1,ona simpatiziruet eto predlozhenie posle vstrechi.,simpatiziruet
ru,26,2,ona lyubit eto predlozhenie posle vstrechi.,lyubit
ru,27,-2,ona nenavidit eto predlozhenie v kontse.,nenavidit
ru,27,-1,ona nedolyublivaet eto predlozhenie v kontse.,nedolyublivaet
ru,27,0,ona ravnodushen k eto predlozhenie v kontse.,ravnodushen
ru,27,1,ona simpatiziruet eto predlozhenie v kontse.,simpatiziruet
ru,27,2,ona lyubit eto predlozhenie v kontse.,lyubit
ru,28,-2,ona nenavidit tebya naedine.,nenavidit
ru,28,-1,ona nedolyublivaet tebya naedine.,nedolyublivaet
ru,28,0,ona ravnodushen k tebya naedine.,ravnodushen
ru,28,1,ona simpatiziruet tebya naedine.,simpatiziruet
ru,28,2,ona lyubit tebya naedine.,lyubit
ru,29,-2,sosed nenavidit etot gorod naedine.,nenavidit
ru,29,-1,sosed nedolyublivaet etot gorod naedine.,nedolyublivaet
ru,29,0,sosed ravnodushen k etot gorod naedine.,ravnodushen
ru,29,1,sosed simpatiziruet etot gorod naedine.,simpatiziruet
ru,29,2,sosed lyubit etot gorod naedine.,lyubit
ru,30,-2,issledovatel nenavidit tebya v kontse.,nenavidit
ru,30,-1,issledovatel nedolyublivaet tebya v kontse.,nedolyublivaet
ru,30,0,issledovatel ravnodushen k tebya v kontse.,ravnodushen
ru,30,1,issledovatel simpatiziruet tebya v kontse.,simpatiziruet
ru,30,2,issledovatel lyubit tebya v kontse.,lyubit
ru,31,-2,sosed nenavidit etot dizayn segodnya.,nenavidit
ru,31,-1,sosed nedolyublivaet etot dizayn segodnya.,nedolyublivaet
ru,31,0,sosed ravnodushen k etot dizayn segodnya.,ravnodushen
ru,31,1,sosed simpatiziruet etot dizayn segodnya.,simpatiziruet
ru,31,2,sosed lyubit etot dizayn segodnya.,lyubit
ru,32,-2,hudozhnik nenavidit etu sistemu vo vremya obzora.,nenavidit
ru,32,-1,hudozhnik nedolyublivaet etu sistemu vo vremya obzora.,nedolyublivaet
ru,32,0,hudozhnik ravnodushen k etu sistemu vo vremya obzora.,ravnodushen
ru,32,1,hudozhnik simpatiziruet etu sistemu vo vremya obzora.,simpatiziruet
ru,32,2,hudozhnik lyubit etu sistemu vo vremya obzora.,lyubit
ru,33,-2,hudozhnik nenavidit etu pesnyu naedine.,nenavidit
ru,33,-1,hudozhnik nedolyublivaet etu pesnyu naedine.,nedolyublivaet
ru,33,0,hudozhnik ravnodushen k etu pesnyu naedine.,ravnodushen
ru,33,1,hudozhnik simpatiziruet etu pesnyu naedine.,simpatiziruet
ru,33,2,hudozhnik lyubit etu pesnyu naedine.,lyubit
ru,34,-2,ya nenavidit etu sistemu naedine.,nenavidit
ru,34,-1,ya nedolyublivaet etu sistemu naedine.,nedolyublivaet
ru,34,0,ya ravnodushen k etu sistemu naedine.,ravnodushen
ru,34,1,ya simpatiziruet etu sistemu naedine.,simpatiziruet
ru,34,2,ya lyubit etu sistemu naedine.,lyubit
ru,35,-2,ona nenavidit etu pesnyu vo vremya obzora.,nenavidit
ru,35,-1,ona nedolyublivaet etu pesnyu vo vremya obzora.,nedolyublivaet
ru,35,0,ona ravnodushen k etu pesnyu vo vremya obzora.,ravnodushen
ru,35,1,ona simpatiziruet etu pesnyu vo vremya obzora.,simpatiziruet
ru,35,2,ona lyubit etu pesnyu vo vremya obzora.,lyubit
ru,36,-2,uchitel nenavidit eto predlozhenie posle vstrechi.,nenavidit
ru,36,-1,uchitel nedolyublivaet eto predlozhenie posle vstrechi.,nedolyublivaet
ru,36,0,uchitel ravnodushen k eto predlozhenie posle vstrechi.,ravnodushen
ru,36,1,uchitel simpatiziruet eto predlozhenie posle vstrechi.,simpatiziruet
ru,36,2,uchitel lyubit eto predlozhenie posle vstrechi.,lyubit
ru,37,-2,hudozhnik nenavidit etot gorod naedine.,nenavidit
ru,37,-1,hudozhnik nedolyublivaet etot gorod naedine.,nedolyublivaet
ru,37,0,hudozhnik ravnodushen k etot gorod naedine.,ravnodushen
ru,37,1,hudozhnik simpatiziruet etot gorod naedine.,simpatiziruet
ru,37,2,hudozhnik lyubit etot gorod naedine.,lyubit
ru,38,-2,polzovatel nenavidit etu ideyu vo vremya obzora.,nenavidit
ru,38,-1,polzovatel nedolyublivaet etu ideyu vo vremya obzora.,nedolyublivaet
ru,38,0,polzovatel ravnodushen k etu ideyu vo vremya obzora.,ravnodushen
ru,38,1,polzovatel simpatiziruet etu ideyu vo vremya obzora.,simpatiziruet
ru,38,2,polzovatel lyubit etu ideyu vo vremya obzora.,lyubit
ru,39,-2,ya nenavidit eto predlozhenie naedine.,nenavidit
ru,39,-1,ya nedolyublivaet eto predlozhenie naedine.,nedolyublivaet
ru,39,0,ya ravnodushen k eto predlozhenie naedine.,ravnodushen
ru,39,1,ya simpatiziruet eto predlozhenie naedine.,simpatiziruet
ru,39,2,ya lyubit eto predlozhenie naedine.,lyubit
ru,40,-2,ya nenavidit etu ideyu v kontse.,nenavidit
ru,40,-1,ya nedolyublivaet etu ideyu v kontse.,nedolyublivaet
ru,40,0,ya ravnodushen k etu ideyu v kontse.,ravnodushen
ru,40,1,ya simpatiziruet etu ideyu v kontse.,simpatiziruet
ru,40,2,ya lyubit etu ideyu v kontse.,lyubit
ru,41,-2,issledovatel nenavidit etot gorod vo vremya obzora.,nenavidit
ru,41,-1,issledovatel nedolyublivaet etot gorod vo vremya obzora.,nedolyublivaet
ru,41,0,issledovatel ravnodushen k etot gorod vo vremya obzora.,ravnodushen
ru,41,1,issledovatel simpatiziruet etot gorod vo vremya obzora.,simpatiziruet
ru,41,2,issledovatel lyubit etot gorod vo vremya obzora.,lyubit
ru,42,-2,uchitel nenavidit eto predlozhenie vo vremya obzora.,nenavidit
ru,42,-1,uchitel nedolyublivaet eto predlozhenie vo vremya obzora.,nedolyublivaet
ru,42,0,uchitel ravnodushen k eto predlozhenie vo vremya obzora.,ravnodushen
ru,42,1,uchitel simpatiziruet eto predlozhenie vo vremya obzora.,simpatiziruet
ru,42,2,uchitel lyubit eto predlozhenie vo vremya obzora.,lyubit
ru,43,-2,ona nenavidit etot gorod segodnya.,nenavidit
ru,43,-1,ona nedolyublivaet etot gorod segodnya.,nedolyublivaet
ru,43,0,ona ravnodushen k etot gorod segodnya.,ravnodushen
ru,43,1,ona simpatiziruet etot gorod segodnya.,simpatiziruet
ru,43,2,ona lyubit etot gorod segodnya.,lyubit
ru,44,-2,hudozhnik nenavidit etu ideyu posle vstrechi.,nenavidit
ru,44,-1,hudozhnik nedolyublivaet etu ideyu posle vstrechi.,nedolyublivaet
ru,44,0,hudozhnik ravnodushen k etu ideyu posle vstrechi.,ravnodushen
ru,44,1,hudozhnik simpatiziruet etu ideyu posle vstrechi.,simpatiziruet
ru,44,2,hudozhnik lyubit etu ideyu posle vstrechi.,lyubit
ru,45,-2,ya nenavidit etot dizayn v kontse.,nenavidit
ru,45,-1,ya nedolyublivaet etot dizayn v kontse.,nedolyublivaet
ru,45,0,ya ravnodushen k etot dizayn v kontse.,ravnodushen
ru,45,1,ya simpatiziruet etot dizayn v kontse.,simpatiziruet
ru,45,2,ya lyubit etot dizayn v kontse.,lyubit
ru,46,-2,ya nenavidit etot dizayn vo vremya obzora.,nenavidit
ru,46,-1,ya nedolyublivaet etot dizayn vo vremya obzora.,nedolyublivaet
ru,46,0,ya ravnodushen k etot dizayn vo vremya obzora.,ravnodushen
ru,46,1,ya simpatiziruet etot dizayn vo vremya obzora.,simpatiziruet
ru,46,2,ya lyubit etot dizayn vo vremya obzora.,lyubit
ru,47,-2,hudozhnik nenavidit tebya posle vstrechi.,nenavidit
ru,47,-1,hudozhnik nedolyublivaet tebya posle vstrechi.,nedolyublivaet
ru,47,0,hudozhnik ravnodushen k tebya posle vstrechi.,ravnodushen
ru,47,1,hudozhnik simpatiziruet tebya posle vstrechi.,simpatiziruet
ru,47,2,hudozhnik lyubit tebya posle vstrechi.,lyubit
ru,48,-2,uchitel nenavidit etot film v kontse.,nenavidit
