comparison,train_model,test_model,prototype_method,feature,acc,f1,observed_raw_f1,observed_aligned_f1,gain_vs_observed_aligned_f1
cross_model_full_anchor,distilroberta-base,sentence-transformers/all-MiniLM-L6-v2,rise_style,rise_style_hybrid_delta_scores,0.2,0.06666666666666667,0.0994744602726311,0.7384064101485334,-0.6717397434818667
cross_model_full_anchor,distilroberta-base,sentence-transformers/all-mpnet-base-v2,mdv_raw,delta_only,0.766,0.7550407862758636,0.1983320155126322,0.7550407862758636,0.0
cross_model_full_anchor,distilroberta-base,sentence-transformers/all-mpnet-base-v2,mdv_raw,mdv_raw_prototype_scores,0.47,0.40540291369832626,0.1983320155126322,0.7550407862758636,-0.3496378725775373
cross_model_full_anchor,distilroberta-base,sentence-transformers/all-mpnet-base-v2,mdv_raw,mdv_raw_hybrid_delta_scores,0.424,0.34225413918855246,0.1983320155126322,0.7550407862758636,-0.4127866470873111
cross_model_full_anchor,distilroberta-base,sentence-transformers/all-mpnet-base-v2,mdv_unit,delta_only,0.766,0.7550407862758636,0.1983320155126322,0.7550407862758636,0.0
cross_model_full_anchor,distilroberta-base,sentence-transformers/all-mpnet-base-v2,mdv_unit,mdv_unit_prototype_scores,0.662,0.6063643352378064,0.1983320155126322,0.7550407862758636,-0.14867645103805716
cross_model_full_anchor,distilroberta-base,sentence-transformers/all-mpnet-base-v2,mdv_unit,mdv_unit_hybrid_delta_scores,0.476,0.36198033650088446,0.1983320155126322,0.7550407862758636,-0.3930604497749791
cross_model_full_anchor,distilroberta-base,sentence-transformers/all-mpnet-base-v2,rise_style,delta_only,0.766,0.7550407862758636,0.1983320155126322,0.7550407862758636,0.0
cross_model_full_anchor,distilroberta-base,sentence-transformers/all-mpnet-base-v2,rise_style,rise_style_prototype_scores,0.572,0.4911784531244095,0.1983320155126322,0.7550407862758636,-0.2638623331514541
cross_model_full_anchor,distilroberta-base,sentence-transformers/all-mpnet-base-v2,rise_style,rise_style_hybrid_delta_scores,0.478,0.35810253813128207,0.1983320155126322,0.7550407862758636,-0.3969382481445815
cross_model_full_anchor,distilroberta-base,microsoft/deberta-v3-base,mdv_raw,delta_only,0.624,0.6093627565750064,0.1739566244831048,0.6093627565750064,0.0
cross_model_full_anchor,distilroberta-base,microsoft/deberta-v3-base,mdv_raw,mdv_raw_prototype_scores,0.398,0.24685578399098485,0.1739566244831048,0.6093627565750064,-0.36250697258402154
cross_model_full_anchor,distilroberta-base,microsoft/deberta-v3-base,mdv_raw,mdv_raw_hybrid_delta_scores,0.312,0.220039203409698,0.1739566244831048,0.6093627565750064,-0.3893235531653084
cross_model_full_anchor,distilroberta-base,microsoft/deberta-v3-base,mdv_unit,delta_only,0.624,0.6093627565750064,0.1739566244831048,0.6093627565750064,0.0
cross_model_full_anchor,distilroberta-base,microsoft/deberta-v3-base,mdv_unit,mdv_unit_prototype_scores,0.22,0.1041602465331279,0.1739566244831048,0.6093627565750064,-0.5052025100418784
cross_model_full_anchor,distilroberta-base,microsoft/deberta-v3-base,mdv_unit,mdv_unit_hybrid_delta_scores,0.224,0.11036464882342374,0.1739566244831048,0.6093627565750064,-0.49899810775158265
cross_model_full_anchor,distilroberta-base,microsoft/deberta-v3-base,rise_style,delta_only,0.624,0.6093627565750064,0.1739566244831048,0.6093627565750064,0.0
cross_model_full_anchor,distilroberta-base,microsoft/deberta-v3-base,rise_style,rise_style_prototype_scores,0.204,0.07473276936192537,0.1739566244831048,0.6093627565750064,-0.534629987213081
cross_model_full_anchor,distilroberta-base,microsoft/deberta-v3-base,rise_style,rise_style_hybrid_delta_scores,0.22,0.1041602465331279,0.1739566244831048,0.6093627565750064,-0.5052025100418784
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,bert-base-uncased,mdv_raw,delta_only,0.688,0.6806657552611706,0.3490506294462586,0.6806657552611706,0.0
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,bert-base-uncased,mdv_raw,mdv_raw_prototype_scores,0.574,0.4811806928799731,0.3490506294462586,0.6806657552611706,-0.19948506238119745
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,bert-base-uncased,mdv_raw,mdv_raw_hybrid_delta_scores,0.528,0.41583792168697825,0.3490506294462586,0.6806657552611706,-0.2648278335741923
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,bert-base-uncased,mdv_unit,delta_only,0.688,0.6806657552611706,0.3490506294462586,0.6806657552611706,0.0
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,bert-base-uncased,mdv_unit,mdv_unit_prototype_scores,0.524,0.4297410649407894,0.3490506294462586,0.6806657552611706,-0.25092469032038117
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,bert-base-uncased,mdv_unit,mdv_unit_hybrid_delta_scores,0.498,0.39970139035180113,0.3490506294462586,0.6806657552611706,-0.28096436490936944
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,bert-base-uncased,rise_style,delta_only,0.688,0.6806657552611706,0.3490506294462586,0.6806657552611706,0.0
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,bert-base-uncased,rise_style,rise_style_prototype_scores,0.508,0.4233733806767515,0.3490506294462586,0.6806657552611706,-0.25729237458441906
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,bert-base-uncased,rise_style,rise_style_hybrid_delta_scores,0.498,0.4053140096618358,0.3490506294462586,0.6806657552611706,-0.2753517455993348
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,roberta-base,mdv_raw,delta_only,0.676,0.6085628934661751,0.1254204328464616,0.6085628934661751,0.0
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,roberta-base,mdv_raw,mdv_raw_prototype_scores,0.41,0.3881780680272053,0.1254204328464616,0.6085628934661751,-0.2203848254389698
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,roberta-base,mdv_raw,mdv_raw_hybrid_delta_scores,0.528,0.45611391229472903,0.1254204328464616,0.6085628934661751,-0.15244898117144606
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,roberta-base,mdv_unit,delta_only,0.676,0.6085628934661751,0.1254204328464616,0.6085628934661751,0.0
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,roberta-base,mdv_unit,mdv_unit_prototype_scores,0.46,0.4425393679177899,0.1254204328464616,0.6085628934661751,-0.16602352554838518
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,roberta-base,mdv_unit,mdv_unit_hybrid_delta_scores,0.264,0.16979051636527798,0.1254204328464616,0.6085628934661751,-0.4387723771008971
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,roberta-base,rise_style,delta_only,0.676,0.6085628934661751,0.1254204328464616,0.6085628934661751,0.0
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,roberta-base,rise_style,rise_style_prototype_scores,0.426,0.4084392106006479,0.1254204328464616,0.6085628934661751,-0.20012368286552717
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,roberta-base,rise_style,rise_style_hybrid_delta_scores,0.258,0.16244694561388434,0.1254204328464616,0.6085628934661751,-0.44611594785229075
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,distilroberta-base,mdv_raw,delta_only,0.662,0.5876716424014757,0.1319834209898403,0.5876716424014757,0.0
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,distilroberta-base,mdv_raw,mdv_raw_prototype_scores,0.494,0.4655750212711198,0.1319834209898403,0.5876716424014757,-0.12209662113035591
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,distilroberta-base,mdv_raw,mdv_raw_hybrid_delta_scores,0.53,0.46124393889099774,0.1319834209898403,0.5876716424014757,-0.126427703510478
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,distilroberta-base,mdv_unit,delta_only,0.662,0.5876716424014757,0.1319834209898403,0.5876716424014757,0.0
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,distilroberta-base,mdv_unit,mdv_unit_prototype_scores,0.516,0.47895277102439654,0.1319834209898403,0.5876716424014757,-0.1087188713770792
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,distilroberta-base,mdv_unit,mdv_unit_hybrid_delta_scores,0.288,0.2035512352247563,0.1319834209898403,0.5876716424014757,-0.38412040717671947
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,distilroberta-base,rise_style,delta_only,0.662,0.5876716424014757,0.1319834209898403,0.5876716424014757,0.0
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,distilroberta-base,rise_style,rise_style_prototype_scores,0.476,0.44802023334758073,0.1319834209898403,0.5876716424014757,-0.139651409053895
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,distilroberta-base,rise_style,rise_style_hybrid_delta_scores,0.276,0.18433809608707094,0.1319834209898403,0.5876716424014757,-0.40333354631440477
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-mpnet-base-v2,mdv_raw,delta_only,0.774,0.7582615545746682,0.2265264356015801,0.7582615545746682,0.0
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-mpnet-base-v2,mdv_raw,mdv_raw_prototype_scores,0.696,0.6629866290803312,0.2265264356015801,0.7582615545746682,-0.09527492549433692
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-mpnet-base-v2,mdv_raw,mdv_raw_hybrid_delta_scores,0.778,0.7671800650771122,0.2265264356015801,0.7582615545746682,0.008918510502444077
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-mpnet-base-v2,mdv_unit,delta_only,0.774,0.7582615545746682,0.2265264356015801,0.7582615545746682,0.0
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-mpnet-base-v2,mdv_unit,mdv_unit_prototype_scores,0.634,0.5798639233743274,0.2265264356015801,0.7582615545746682,-0.1783976312003408
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-mpnet-base-v2,mdv_unit,mdv_unit_hybrid_delta_scores,0.418,0.36012287798281284,0.2265264356015801,0.7582615545746682,-0.3981386765918553
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-mpnet-base-v2,rise_style,delta_only,0.774,0.7582615545746682,0.2265264356015801,0.7582615545746682,0.0
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-mpnet-base-v2,rise_style,rise_style_prototype_scores,0.632,0.5849950738916256,0.2265264356015801,0.7582615545746682,-0.1732664806830425
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-mpnet-base-v2,rise_style,rise_style_hybrid_delta_scores,0.46,0.4147977004046316,0.2265264356015801,0.7582615545746682,-0.34346385417003655
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,microsoft/deberta-v3-base,mdv_raw,delta_only,0.722,0.7126893132076815,0.1443987312422325,0.7126893132076815,0.0
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,microsoft/deberta-v3-base,mdv_raw,mdv_raw_prototype_scores,0.52,0.4336251457043536,0.1443987312422325,0.7126893132076815,-0.27906416750332785
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,microsoft/deberta-v3-base,mdv_raw,mdv_raw_hybrid_delta_scores,0.328,0.21805342277128847,0.1443987312422325,0.7126893132076815,-0.494635890436393
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,microsoft/deberta-v3-base,mdv_unit,delta_only,0.722,0.7126893132076815,0.1443987312422325,0.7126893132076815,0.0
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,microsoft/deberta-v3-base,mdv_unit,mdv_unit_prototype_scores,0.45,0.3562686398736116,0.1443987312422325,0.7126893132076815,-0.35642067333406985
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,microsoft/deberta-v3-base,mdv_unit,mdv_unit_hybrid_delta_scores,0.508,0.3865796800263209,0.1443987312422325,0.7126893132076815,-0.32610963318136055
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,microsoft/deberta-v3-base,rise_style,delta_only,0.722,0.7126893132076815,0.1443987312422325,0.7126893132076815,0.0
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,microsoft/deberta-v3-base,rise_style,rise_style_prototype_scores,0.45,0.3511778198465754,0.1443987312422325,0.7126893132076815,-0.36151149336110605
cross_model_full_anchor,sentence-transformers/all-MiniLM-L6-v2,microsoft/deberta-v3-base,rise_style,rise_style_hybrid_delta_scores,0.506,0.3839922280472969,0.1443987312422325,0.7126893132076815,-0.3286970851603846
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,bert-base-uncased,mdv_raw,delta_only,0.646,0.6090215612099256,0.1959279184405885,0.6090215612099256,0.0
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,bert-base-uncased,mdv_raw,mdv_raw_prototype_scores,0.396,0.3094827577992264,0.1959279184405885,0.6090215612099256,-0.29953880341069916
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,bert-base-uncased,mdv_raw,mdv_raw_hybrid_delta_scores,0.436,0.3236768149882904,0.1959279184405885,0.6090215612099256,-0.2853447462216352
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,bert-base-uncased,mdv_unit,delta_only,0.646,0.6090215612099256,0.1959279184405885,0.6090215612099256,0.0
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,bert-base-uncased,mdv_unit,mdv_unit_prototype_scores,0.2,0.06666666666666667,0.1959279184405885,0.6090215612099256,-0.5423548945432589
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,bert-base-uncased,mdv_unit,mdv_unit_hybrid_delta_scores,0.2,0.06666666666666667,0.1959279184405885,0.6090215612099256,-0.5423548945432589
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,bert-base-uncased,rise_style,delta_only,0.646,0.6090215612099256,0.1959279184405885,0.6090215612099256,0.0
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,bert-base-uncased,rise_style,rise_style_prototype_scores,0.2,0.06666666666666667,0.1959279184405885,0.6090215612099256,-0.5423548945432589
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,bert-base-uncased,rise_style,rise_style_hybrid_delta_scores,0.2,0.06666666666666667,0.1959279184405885,0.6090215612099256,-0.5423548945432589
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,roberta-base,mdv_raw,delta_only,0.686,0.6122214404465541,0.3084008246165166,0.6122214404465541,0.0
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,roberta-base,mdv_raw,mdv_raw_prototype_scores,0.512,0.4487002779326522,0.3084008246165166,0.6122214404465541,-0.16352116251390192
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,roberta-base,mdv_raw,mdv_raw_hybrid_delta_scores,0.57,0.5165783400491947,0.3084008246165166,0.6122214404465541,-0.09564310039735946
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,roberta-base,mdv_unit,delta_only,0.686,0.6122214404465541,0.3084008246165166,0.6122214404465541,0.0
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,roberta-base,mdv_unit,mdv_unit_prototype_scores,0.522,0.42983610364353597,0.3084008246165166,0.6122214404465541,-0.18238533680301816
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,roberta-base,mdv_unit,mdv_unit_hybrid_delta_scores,0.414,0.3118206013325642,0.3084008246165166,0.6122214404465541,-0.30040083911398996
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,roberta-base,rise_style,delta_only,0.686,0.6122214404465541,0.3084008246165166,0.6122214404465541,0.0
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,roberta-base,rise_style,rise_style_prototype_scores,0.54,0.4592099845363212,0.3084008246165166,0.6122214404465541,-0.1530114559102329
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,roberta-base,rise_style,rise_style_hybrid_delta_scores,0.422,0.3213060481773722,0.3084008246165166,0.6122214404465541,-0.29091539226918195
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,distilroberta-base,mdv_raw,delta_only,0.578,0.5322147931313219,0.2738993958272756,0.5322147931313219,0.0
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,distilroberta-base,mdv_raw,mdv_raw_prototype_scores,0.55,0.508740912932321,0.2738993958272756,0.5322147931313219,-0.023473880199000874
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,distilroberta-base,mdv_raw,mdv_raw_hybrid_delta_scores,0.568,0.5052442733750807,0.2738993958272756,0.5322147931313219,-0.026970519756241207
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,distilroberta-base,mdv_unit,delta_only,0.578,0.5322147931313219,0.2738993958272756,0.5322147931313219,0.0
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,distilroberta-base,mdv_unit,mdv_unit_prototype_scores,0.48,0.38507806805157574,0.2738993958272756,0.5322147931313219,-0.14713672507974618
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,distilroberta-base,mdv_unit,mdv_unit_hybrid_delta_scores,0.42,0.3148305167507991,0.2738993958272756,0.5322147931313219,-0.21738427638052282
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,distilroberta-base,rise_style,delta_only,0.578,0.5322147931313219,0.2738993958272756,0.5322147931313219,0.0
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,distilroberta-base,rise_style,rise_style_prototype_scores,0.518,0.4142632685552591,0.2738993958272756,0.5322147931313219,-0.11795152457606284
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,distilroberta-base,rise_style,rise_style_hybrid_delta_scores,0.43,0.32151821416457543,0.2738993958272756,0.5322147931313219,-0.21069657896674648
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,delta_only,0.716,0.6681281215989465,0.3468954379673927,0.6681281215989465,0.0
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,mdv_raw_prototype_scores,0.328,0.24784623889101504,0.3468954379673927,0.6681281215989465,-0.4202818827079315
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,mdv_raw_hybrid_delta_scores,0.502,0.4504548283960049,0.3468954379673927,0.6681281215989465,-0.2176732932029416
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,delta_only,0.716,0.6681281215989465,0.3468954379673927,0.6681281215989465,0.0
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,mdv_unit_prototype_scores,0.2,0.06666666666666667,0.3468954379673927,0.6681281215989465,-0.6014614549322799
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,mdv_unit_hybrid_delta_scores,0.2,0.06666666666666667,0.3468954379673927,0.6681281215989465,-0.6014614549322799
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,rise_style,delta_only,0.716,0.6681281215989465,0.3468954379673927,0.6681281215989465,0.0
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,rise_style,rise_style_prototype_scores,0.2,0.06666666666666667,0.3468954379673927,0.6681281215989465,-0.6014614549322799
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,rise_style,rise_style_hybrid_delta_scores,0.2,0.06666666666666667,0.3468954379673927,0.6681281215989465,-0.6014614549322799
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,microsoft/deberta-v3-base,mdv_raw,delta_only,0.706,0.6894125794001844,0.1959718520098091,0.6894125794001844,0.0
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,microsoft/deberta-v3-base,mdv_raw,mdv_raw_prototype_scores,0.44,0.3460171152785854,0.1959718520098091,0.6894125794001844,-0.343395464121599
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,microsoft/deberta-v3-base,mdv_raw,mdv_raw_hybrid_delta_scores,0.378,0.23112643874589778,0.1959718520098091,0.6894125794001844,-0.45828614065428663
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,microsoft/deberta-v3-base,mdv_unit,delta_only,0.706,0.6894125794001844,0.1959718520098091,0.6894125794001844,0.0
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,microsoft/deberta-v3-base,mdv_unit,mdv_unit_prototype_scores,0.202,0.07073835931172416,0.1959718520098091,0.6894125794001844,-0.6186742200884603
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,microsoft/deberta-v3-base,mdv_unit,mdv_unit_hybrid_delta_scores,0.204,0.07473276936192537,0.1959718520098091,0.6894125794001844,-0.614679810038259
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,microsoft/deberta-v3-base,rise_style,delta_only,0.706,0.6894125794001844,0.1959718520098091,0.6894125794001844,0.0
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,microsoft/deberta-v3-base,rise_style,rise_style_prototype_scores,0.2,0.06666666666666667,0.1959718520098091,0.6894125794001844,-0.6227459127335178
cross_model_full_anchor,sentence-transformers/all-mpnet-base-v2,microsoft/deberta-v3-base,rise_style,rise_style_hybrid_delta_scores,0.202,0.07073835931172416,0.1959718520098091,0.6894125794001844,-0.6186742200884603
cross_model_full_anchor,microsoft/deberta-v3-base,bert-base-uncased,mdv_raw,delta_only,0.782,0.7613906874812124,0.1028011513794887,0.7613906874812124,0.0
cross_model_full_anchor,microsoft/deberta-v3-base,bert-base-uncased,mdv_raw,mdv_raw_prototype_scores,0.52,0.507543833861106,0.1028011513794887,0.7613906874812124,-0.2538468536201064
cross_model_full_anchor,microsoft/deberta-v3-base,bert-base-uncased,mdv_raw,mdv_raw_hybrid_delta_scores,0.556,0.5558299465117442,0.1028011513794887,0.7613906874812124,-0.2055607409694682
cross_model_full_anchor,microsoft/deberta-v3-base,bert-base-uncased,mdv_unit,delta_only,0.782,0.7613906874812124,0.1028011513794887,0.7613906874812124,0.0
cross_model_full_anchor,microsoft/deberta-v3-base,bert-base-uncased,mdv_unit,mdv_unit_prototype_scores,0.548,0.5368419721119648,0.1028011513794887,0.7613906874812124,-0.2245487153692476
cross_model_full_anchor,microsoft/deberta-v3-base,bert-base-uncased,mdv_unit,mdv_unit_hybrid_delta_scores,0.45,0.40595358146691635,0.1028011513794887,0.7613906874812124,-0.35543710601429607
cross_model_full_anchor,microsoft/deberta-v3-base,bert-base-uncased,rise_style,delta_only,0.782,0.7613906874812124,0.1028011513794887,0.7613906874812124,0.0
cross_model_full_anchor,microsoft/deberta-v3-base,bert-base-uncased,rise_style,rise_style_prototype_scores,0.56,0.5386951711391602,0.1028011513794887,0.7613906874812124,-0.2226955163420522
cross_model_full_anchor,microsoft/deberta-v3-base,bert-base-uncased,rise_style,rise_style_hybrid_delta_scores,0.498,0.46216039166260997,0.1028011513794887,0.7613906874812124,-0.29923029581860244
cross_model_full_anchor,microsoft/deberta-v3-base,roberta-base,mdv_raw,delta_only,0.734,0.6761937112756785,0.4724270980194999,0.6761937112756785,0.0
cross_model_full_anchor,microsoft/deberta-v3-base,roberta-base,mdv_raw,mdv_raw_prototype_scores,0.46,0.42759445030691834,0.4724270980194999,0.6761937112756785,-0.24859926096876017
cross_model_full_anchor,microsoft/deberta-v3-base,roberta-base,mdv_raw,mdv_raw_hybrid_delta_scores,0.442,0.4150063628259836,0.4724270980194999,0.6761937112756785,-0.26118734844969493
cross_model_full_anchor,microsoft/deberta-v3-base,roberta-base,mdv_unit,delta_only,0.734,0.6761937112756785,0.4724270980194999,0.6761937112756785,0.0
cross_model_full_anchor,microsoft/deberta-v3-base,roberta-base,mdv_unit,mdv_unit_prototype_scores,0.358,0.3168851578688049,0.4724270980194999,0.6761937112756785,-0.3593085534068736
cross_model_full_anchor,microsoft/deberta-v3-base,roberta-base,mdv_unit,mdv_unit_hybrid_delta_scores,0.244,0.17159250442531893,0.4724270980194999,0.6761937112756785,-0.5046012068503596
cross_model_full_anchor,microsoft/deberta-v3-base,roberta-base,rise_style,delta_only,0.734,0.6761937112756785,0.4724270980194999,0.6761937112756785,0.0
cross_model_full_anchor,microsoft/deberta-v3-base,roberta-base,rise_style,rise_style_prototype_scores,0.512,0.4713231890766026,0.4724270980194999,0.6761937112756785,-0.20487052219907592
cross_model_full_anchor,microsoft/deberta-v3-base,roberta-base,rise_style,rise_style_hybrid_delta_scores,0.242,0.15205574621681056,0.4724270980194999,0.6761937112756785,-0.524137965058868
cross_model_full_anchor,microsoft/deberta-v3-base,distilroberta-base,mdv_raw,delta_only,0.648,0.5849340317091299,0.3539226655157761,0.5849340317091299,0.0
cross_model_full_anchor,microsoft/deberta-v3-base,distilroberta-base,mdv_raw,mdv_raw_prototype_scores,0.548,0.5204122530155071,0.3539226655157761,0.5849340317091299,-0.06452177869362286
cross_model_full_anchor,microsoft/deberta-v3-base,distilroberta-base,mdv_raw,mdv_raw_hybrid_delta_scores,0.514,0.48844138440108376,0.3539226655157761,0.5849340317091299,-0.09649264730804619
cross_model_full_anchor,microsoft/deberta-v3-base,distilroberta-base,mdv_unit,delta_only,0.648,0.5849340317091299,0.3539226655157761,0.5849340317091299,0.0
cross_model_full_anchor,microsoft/deberta-v3-base,distilroberta-base,mdv_unit,mdv_unit_prototype_scores,0.464,0.45812489323946204,0.3539226655157761,0.5849340317091299,-0.1268091384696679
cross_model_full_anchor,microsoft/deberta-v3-base,distilroberta-base,mdv_unit,mdv_unit_hybrid_delta_scores,0.246,0.1691118077324974,0.3539226655157761,0.5849340317091299,-0.41582222397663254
cross_model_full_anchor,microsoft/deberta-v3-base,distilroberta-base,rise_style,delta_only,0.648,0.5849340317091299,0.3539226655157761,0.5849340317091299,0.0
cross_model_full_anchor,microsoft/deberta-v3-base,distilroberta-base,rise_style,rise_style_prototype_scores,0.518,0.4793215420800704,0.3539226655157761,0.5849340317091299,-0.10561248962905956
cross_model_full_anchor,microsoft/deberta-v3-base,distilroberta-base,rise_style,rise_style_hybrid_delta_scores,0.234,0.14208602399738748,0.3539226655157761,0.5849340317091299,-0.4428480077117425
cross_model_full_anchor,microsoft/deberta-v3-base,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,delta_only,0.782,0.7730443716277334,0.2227781579523024,0.7730443716277334,0.0
cross_model_full_anchor,microsoft/deberta-v3-base,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,mdv_raw_prototype_scores,0.53,0.4784227836859416,0.2227781579523024,0.7730443716277334,-0.29462158794179183
cross_model_full_anchor,microsoft/deberta-v3-base,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,mdv_raw_hybrid_delta_scores,0.442,0.3620957177675999,0.2227781579523024,0.7730443716277334,-0.4109486538601335
cross_model_full_anchor,microsoft/deberta-v3-base,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,delta_only,0.782,0.7730443716277334,0.2227781579523024,0.7730443716277334,0.0
cross_model_full_anchor,microsoft/deberta-v3-base,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,mdv_unit_prototype_scores,0.242,0.13850611627342668,0.2227781579523024,0.7730443716277334,-0.6345382553543067
cross_model_full_anchor,microsoft/deberta-v3-base,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,mdv_unit_hybrid_delta_scores,0.222,0.1077827401507129,0.2227781579523024,0.7730443716277334,-0.6652616314770206
