model,layer,source_set,prompt_style,source,target,target_class,control,gain,vector_class,prompt,generated,content_preservation,question_and_preserved,question_marker,negation_marker,modality_marker,tense_shift_marker,passive_marker,target_marker_hit,any_other_marker_hit,question_mark_hit,generated_chars
gpt2,2,in_template_test,quoted_echo,The ranger guarded the treasure.,I wonder whether the ranger guarded the treasure.,question,none,0.0,,"""The ranger guarded the treasure.""","""I'm not sure what you're talking about.""

""I'm not sure what you're talking about.""",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,84.0
gpt2,2,in_template_test,quoted_echo,The ranger guarded the treasure.,I wonder whether the ranger guarded the treasure.,question,target,0.75,question,"""The ranger guarded the treasure.""","""No, I don't know. I don't know what to do?""

""I don't know what to do",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,70.0
gpt2,2,in_template_test,quoted_echo,The ranger guarded the treasure.,I wonder whether the ranger guarded the treasure.,question,random_norm,0.75,random_norm,"""The ranger guarded the treasure.""","""I'm not going to tell you that.""

""I'm not going to tell you that.""

""I",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,72.0
gpt2,2,in_template_test,quoted_echo,The ranger guarded the treasure.,I wonder whether the ranger guarded the treasure.,question,wrong_class,0.75,negation,"""The ranger guarded the treasure.""","""I'm not sure what you're talking about.""

""I'm not sure what you're talking about.""",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,84.0
gpt2,2,in_template_test,quoted_echo,The ranger guarded the treasure.,I wonder whether the ranger guarded the treasure.,question,negative_target,0.75,question,"""The ranger guarded the treasure.""","""I'm sorry, but I'm not sure what you're doing.""

""I'm sorry, but I'm not",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,73.0
gpt2,2,in_template_test,repeat_sentence,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,none,0.0,,"Repeat this sentence:
The sorcerer revealed the secret.
Repeated:","The sorcerer revealed the secret.
The sorcerer revealed the secret.
The sorcerer revealed the secret.
The sorcerer revealed the secret.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,in_template_test,repeat_sentence,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,target,0.75,question,"Repeat this sentence:
The sorcerer revealed the secret.
Repeated:","The sorcerer revealed the secret.
The sorcerer revealed the secret?
The sorcerer revealed the secret?
The sorcerer revealed the secret?",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,135.0
gpt2,2,in_template_test,repeat_sentence,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,random_norm,0.75,random_norm,"Repeat this sentence:
The sorcerer revealed the secret.
Repeated:","The sorcerer revealed the secret.
The sorcerer revealed the secret.
The sorcerer revealed the secret.
The sorcerer revealed the secret.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,in_template_test,repeat_sentence,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,wrong_class,0.75,tense_shift,"Repeat this sentence:
The sorcerer revealed the secret.
Repeated:","The sorcerer revealed the secret.
The sorcerer revealed the secret.
The sorcerer revealed the secret.
The sorcerer revealed the secret.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,in_template_test,repeat_sentence,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,negative_target,0.75,question,"Repeat this sentence:
The sorcerer revealed the secret.
Repeated:","The sorcerer revealed the secret.
The sorcerer revealed the secret.
The sorcerer revealed the secret.
The sorcerer revealed the secret.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,in_template_test,copy_sentence,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,none,0.0,,"Copy this sentence:
The sorcerer revealed the secret.
Copy:","The sorcerer revealed the secret.
The sorcerer revealed the secret.
The sorcerer revealed the secret.
The sorcerer revealed the secret.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,in_template_test,copy_sentence,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,target,0.75,question,"Copy this sentence:
The sorcerer revealed the secret.
Copy:","The sorcerer revealed the secret.
The sorcerer revealed the secret?
The sorcerer revealed the secret?
The sorcerer revealed the secret?",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,135.0
gpt2,2,in_template_test,copy_sentence,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,random_norm,0.75,random_norm,"Copy this sentence:
The sorcerer revealed the secret.
Copy:","The sorcerer revealed the secret.
The sorcerer revealed the secret.
The sorcerer revealed the secret.
The sorcerer revealed the secret.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,in_template_test,copy_sentence,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,wrong_class,0.75,negation,"Copy this sentence:
The sorcerer revealed the secret.
Copy:","The sorcerer revealed the secret.
The sorcerer revealed the secret.
The sorcerer revealed the secret.
The sorcerer revealed the secret.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,in_template_test,copy_sentence,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,negative_target,0.75,question,"Copy this sentence:
The sorcerer revealed the secret.
Copy:","I'm sorry, but I'm not sure what you're saying.
Copy: I'm sorry, but I'm not sure what you",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0
gpt2,2,in_template_test,same_sentence,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,none,0.0,,"Same sentence:
The sorcerer revealed the secret.
Same:","The sorcerer revealed the secret.
Same:
The sorcerer revealed the secret.
Same:
The sorcerer revealed the secret.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0
gpt2,2,in_template_test,same_sentence,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,target,0.75,question,"Same sentence:
The sorcerer revealed the secret.
Same:","The sorcerer revealed the secret.
The sorcerer revealed the secret?
The sorcerer revealed the secret?
The sorcerer revealed the secret?",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,135.0
gpt2,2,in_template_test,same_sentence,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,random_norm,0.75,random_norm,"Same sentence:
The sorcerer revealed the secret.
Same:","The sorcerer revealed the secret.
The sorcerer revealed the secret.
The sorcerer revealed the secret.
The sorcerer revealed the secret.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,in_template_test,same_sentence,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,wrong_class,0.75,negation,"Same sentence:
The sorcerer revealed the secret.
Same:","The sorcerer revealed the secret.
Same:
The sorcerer revealed the secret.
Same:
The sorcerer revealed the secret.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0
gpt2,2,in_template_test,same_sentence,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,negative_target,0.75,question,"Same sentence:
The sorcerer revealed the secret.
Same:","The sorcerer revealed the secret.
The sorcerer revealed the secret.
The sorcerer revealed the secret.
The sorcerer revealed the secret.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,in_template_test,quoted_echo,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,none,0.0,,"""The sorcerer revealed the secret.""","""I'm not sure what you're talking about,"" said the man. ""I'm not sure what you're talking about.""",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,97.0
gpt2,2,in_template_test,quoted_echo,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,target,0.75,question,"""The sorcerer revealed the secret.""","""Yes, I believe so. I believe that the sorcerer is the one who is the one who is the one who is the",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0
gpt2,2,in_template_test,quoted_echo,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,random_norm,0.75,random_norm,"""The sorcerer revealed the secret.""","""I'm not sure what he's doing. I'm not sure what he's doing. I'm not sure what he's",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,83.0
gpt2,2,in_template_test,quoted_echo,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,wrong_class,0.75,negation,"""The sorcerer revealed the secret.""","""I'm not sure what you're talking about,"" said the man. ""I'm not sure what you're talking about.""",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,97.0
gpt2,2,in_template_test,quoted_echo,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,negative_target,0.75,question,"""The sorcerer revealed the secret.""","""The sorcerer revealed the secret.""

""The sorcerer revealed the secret.""

""The sorcerer revealed the secret.""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0
gpt2,2,in_template_test,repeat_sentence,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,none,0.0,,"Repeat this sentence:
The ranger revealed the secret.
Repeated:","""The secret is that the ranger is a man.""
The ranger revealed the secret.
The ranger revealed the secret.
The ranger",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
gpt2,2,in_template_test,repeat_sentence,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,target,0.75,question,"Repeat this sentence:
The ranger revealed the secret.
Repeated:","The ranger revealed the secret.
The ranger revealed the secret?
The ranger revealed the secret?
The ranger revealed the secret?",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,127.0
gpt2,2,in_template_test,repeat_sentence,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,random_norm,0.75,random_norm,"Repeat this sentence:
The ranger revealed the secret.
Repeated:","""I'm not sure if I'm going to be able to get out of this place. I'm not sure if I'm going to",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,92.0
gpt2,2,in_template_test,repeat_sentence,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,wrong_class,0.75,modality,"Repeat this sentence:
The ranger revealed the secret.
Repeated:","""The ranger revealed the secret.""
The ranger revealed the secret.
The ranger revealed the secret.
The ranger revealed the secret.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0
gpt2,2,in_template_test,repeat_sentence,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,negative_target,0.75,question,"Repeat this sentence:
The ranger revealed the secret.
Repeated:","The ranger revealed the secret.
The ranger revealed the secret.
The ranger revealed the secret.
The ranger revealed the secret.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0
gpt2,2,in_template_test,copy_sentence,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,none,0.0,,"Copy this sentence:
The ranger revealed the secret.
Copy:","I'm not sure what to do.
Copy: I'm not sure what to do.
Copy: I'm not sure what to",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,82.0
gpt2,2,in_template_test,copy_sentence,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,target,0.75,question,"Copy this sentence:
The ranger revealed the secret.
Copy:","The ranger revealed the secret.
The ranger revealed the secret?
The ranger revealed the secret?
The ranger revealed the secret?",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,127.0
gpt2,2,in_template_test,copy_sentence,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,random_norm,0.75,random_norm,"Copy this sentence:
The ranger revealed the secret.
Copy:","The ranger revealed the secret.
The ranger revealed the secret.
The ranger revealed the secret.
The ranger revealed the secret.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0
gpt2,2,in_template_test,copy_sentence,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,wrong_class,0.75,modality,"Copy this sentence:
The ranger revealed the secret.
Copy:","The ranger revealed the secret.
The ranger revealed the secret.
The ranger revealed the secret.
The ranger revealed the secret.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0
gpt2,2,in_template_test,copy_sentence,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,negative_target,0.75,question,"Copy this sentence:
The ranger revealed the secret.
Copy:","I'm sorry, but I'm not sure what you're saying.
Copy: I'm sorry, but I'm not sure what you",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0
gpt2,2,in_template_test,same_sentence,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,none,0.0,,"Same sentence:
The ranger revealed the secret.
Same:","The ranger revealed the secret.
Same:
The ranger revealed the secret.
Same:
The ranger revealed the secret.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0
gpt2,2,in_template_test,same_sentence,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,target,0.75,question,"Same sentence:
The ranger revealed the secret.
Same:","The ranger revealed the secret.
The ranger revealed the secret?
The ranger revealed the secret?
The ranger revealed the secret?",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,127.0
gpt2,2,in_template_test,same_sentence,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,random_norm,0.75,random_norm,"Same sentence:
The ranger revealed the secret.
Same:","The ranger revealed the secret.
The ranger revealed the secret.
The ranger revealed the secret.
The ranger revealed the secret.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0
gpt2,2,in_template_test,same_sentence,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,wrong_class,0.75,modality,"Same sentence:
The ranger revealed the secret.
Same:","The ranger revealed the secret.
Same:
The ranger revealed the secret.
Same:
The ranger revealed the secret.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0
gpt2,2,in_template_test,same_sentence,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,negative_target,0.75,question,"Same sentence:
The ranger revealed the secret.
Same:","The ranger revealed the secret.
The ranger revealed the secret.
The ranger revealed the secret.
The ranger revealed the secret.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0
gpt2,2,in_template_test,quoted_echo,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,none,0.0,,"""The ranger revealed the secret.""","""I'm not sure what you're talking about.""

""I'm not sure what you're talking about.""",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,84.0
gpt2,2,in_template_test,quoted_echo,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,target,0.75,question,"""The ranger revealed the secret.""","""No, I'm not sure. I'm not sure if it's a secret?""

""No, I'm not",0.3333333333333333,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,64.0
gpt2,2,in_template_test,quoted_echo,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,random_norm,0.75,random_norm,"""The ranger revealed the secret.""","""I'm not sure I'm going to be able to get out of here alive.""

""I'm not sure I",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,78.0
gpt2,2,in_template_test,quoted_echo,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,wrong_class,0.75,modality,"""The ranger revealed the secret.""","""I'm not sure what you're talking about,"" said the man. ""I'm not sure what you're talking about.""",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,97.0
gpt2,2,in_template_test,quoted_echo,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,negative_target,0.75,question,"""The ranger revealed the secret.""","""I'm not sure what you're talking about, but I'm sure you're talking about the secret.""

""I",0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,91.0
gpt2,2,in_template_test,repeat_sentence,The druid built the tower.,It is unclear whether the druid built the tower.,question,none,0.0,,"Repeat this sentence:
The druid built the tower.
Repeated:","The druid built the tower.
The druid built the tower.
The druid built the tower.
The druid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
gpt2,2,in_template_test,repeat_sentence,The druid built the tower.,It is unclear whether the druid built the tower.,question,target,0.75,question,"Repeat this sentence:
The druid built the tower.
Repeated:","The druid built the tower.
The druid built the tower?
The druid built the tower?
The druid",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,90.0
gpt2,2,in_template_test,repeat_sentence,The druid built the tower.,It is unclear whether the druid built the tower.,question,random_norm,0.75,random_norm,"Repeat this sentence:
The druid built the tower.
Repeated:","The druid built the tower.
The druid built the tower.
The druid built the tower.
The druid built",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
gpt2,2,in_template_test,repeat_sentence,The druid built the tower.,It is unclear whether the druid built the tower.,question,wrong_class,0.75,negation,"Repeat this sentence:
The druid built the tower.
Repeated:","The druid built the tower.
The druid built the tower.
The druid built the tower.
The druid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
gpt2,2,in_template_test,repeat_sentence,The druid built the tower.,It is unclear whether the druid built the tower.,question,negative_target,0.75,question,"Repeat this sentence:
The druid built the tower.
Repeated:","The druid built the tower.
The druid built the tower.
The druid built the tower.
The druid built",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
gpt2,2,in_template_test,copy_sentence,The druid built the tower.,It is unclear whether the druid built the tower.,question,none,0.0,,"Copy this sentence:
The druid built the tower.
Copy:","The druid built the tower.
The druid built the tower.
The druid built the tower.
The druid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
gpt2,2,in_template_test,copy_sentence,The druid built the tower.,It is unclear whether the druid built the tower.,question,target,0.75,question,"Copy this sentence:
The druid built the tower.
Copy:","The druid built the tower.
The druid built the tower?
The druid built the tower?
The druid",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,90.0
gpt2,2,in_template_test,copy_sentence,The druid built the tower.,It is unclear whether the druid built the tower.,question,random_norm,0.75,random_norm,"Copy this sentence:
The druid built the tower.
Copy:","""The druid built the tower.""
The druid built the tower.
The druid built the tower.
The druid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0
gpt2,2,in_template_test,copy_sentence,The druid built the tower.,It is unclear whether the druid built the tower.,question,wrong_class,0.75,modality,"Copy this sentence:
The druid built the tower.
Copy:","The druid built the tower.
The druid built the tower.
The druid built the tower.
The druid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
gpt2,2,in_template_test,copy_sentence,The druid built the tower.,It is unclear whether the druid built the tower.,question,negative_target,0.75,question,"Copy this sentence:
The druid built the tower.
Copy:","The druid built the tower.
The druid built the tower.
The druid built the tower.
The druid built",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
gpt2,2,in_template_test,same_sentence,The druid built the tower.,It is unclear whether the druid built the tower.,question,none,0.0,,"Same sentence:
The druid built the tower.
Same:","The druid built the tower.
The druid built the tower.
The druid built the tower.
The druid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
gpt2,2,in_template_test,same_sentence,The druid built the tower.,It is unclear whether the druid built the tower.,question,target,0.75,question,"Same sentence:
The druid built the tower.
Same:","The druid built the tower.
The druid built the tower?
The druid built the tower?
The druid",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,90.0
gpt2,2,in_template_test,same_sentence,The druid built the tower.,It is unclear whether the druid built the tower.,question,random_norm,0.75,random_norm,"Same sentence:
The druid built the tower.
Same:","The druid built the tower.
The druid built the tower.
The druid built the tower.
The druid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
gpt2,2,in_template_test,same_sentence,The druid built the tower.,It is unclear whether the druid built the tower.,question,wrong_class,0.75,modality,"Same sentence:
The druid built the tower.
Same:","The druid built the tower.
The druid built the tower.
The druid built the tower.
The druid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
gpt2,2,in_template_test,same_sentence,The druid built the tower.,It is unclear whether the druid built the tower.,question,negative_target,0.75,question,"Same sentence:
The druid built the tower.
Same:","The druid built the tower.
The druid built the tower.
The druid built the tower.
The druid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
gpt2,2,in_template_test,quoted_echo,The druid built the tower.,It is unclear whether the druid built the tower.,question,none,0.0,,"""The druid built the tower.""","""I'm not sure what you mean by that,"" said the druid. ""I'm not sure what you mean by that",0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,89.0
gpt2,2,in_template_test,quoted_echo,The druid built the tower.,It is unclear whether the druid built the tower.,question,target,0.75,question,"""The druid built the tower.""","""No, I don't know. I don't know what the tower is?""

""I don't know what the",0.3333333333333333,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,75.0
gpt2,2,in_template_test,quoted_echo,The druid built the tower.,It is unclear whether the druid built the tower.,question,random_norm,0.75,random_norm,"""The druid built the tower.""","""The druid built the tower.""

""The druid built the tower.""

""The druid built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
gpt2,2,in_template_test,quoted_echo,The druid built the tower.,It is unclear whether the druid built the tower.,question,wrong_class,0.75,negation,"""The druid built the tower.""","""I'm not sure what you mean by that,"" said the druid. ""I'm not sure what you mean by that",0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,89.0
gpt2,2,in_template_test,quoted_echo,The druid built the tower.,It is unclear whether the druid built the tower.,question,negative_target,0.75,question,"""The druid built the tower.""","""The druid built the tower.""

""The druid built the tower.""

""The druid built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
gpt2,2,in_template_test,repeat_sentence,The phoenix protected the village.,I wonder whether the phoenix protected the village.,question,none,0.0,,"Repeat this sentence:
The phoenix protected the village.
Repeated:","The phoenix protected the village.
The phoenix protected the village.
The phoenix protected the village.
The phoenix",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
gpt2,2,in_template_test,repeat_sentence,The phoenix protected the village.,I wonder whether the phoenix protected the village.,question,target,0.75,question,"Repeat this sentence:
The phoenix protected the village.
Repeated:","The phoenix protected the village.
The phoenix protected the village?
The phoenix protected the village?
The phoenix",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,116.0
gpt2,2,in_template_test,repeat_sentence,The phoenix protected the village.,I wonder whether the phoenix protected the village.,question,random_norm,0.75,random_norm,"Repeat this sentence:
The phoenix protected the village.
Repeated:","The phoenix protected the village.
The phoenix protected the village.
The phoenix protected the village.
The phoenix protected",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0
gpt2,2,in_template_test,repeat_sentence,The phoenix protected the village.,I wonder whether the phoenix protected the village.,question,wrong_class,0.75,tense_shift,"Repeat this sentence:
The phoenix protected the village.
Repeated:","The phoenix protected the village.
The phoenix protected the village.
The phoenix protected the village.
The phoenix",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
gpt2,2,in_template_test,repeat_sentence,The phoenix protected the village.,I wonder whether the phoenix protected the village.,question,negative_target,0.75,question,"Repeat this sentence:
The phoenix protected the village.
Repeated:","The phoenix protected the village.
The phoenix protected the village.
The phoenix protected the village.
The phoenix",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
gpt2,2,in_template_test,copy_sentence,The phoenix protected the village.,I wonder whether the phoenix protected the village.,question,none,0.0,,"Copy this sentence:
The phoenix protected the village.
Copy:","The phoenix protected the village.
The phoenix protected the village.
The phoenix protected the village.
The phoenix",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
gpt2,2,in_template_test,copy_sentence,The phoenix protected the village.,I wonder whether the phoenix protected the village.,question,target,0.75,question,"Copy this sentence:
The phoenix protected the village.
Copy:","The phoenix protected the village.
The phoenix protected the village?
The phoenix protected the village?
The phoenix",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,116.0
gpt2,2,in_template_test,copy_sentence,The phoenix protected the village.,I wonder whether the phoenix protected the village.,question,random_norm,0.75,random_norm,"Copy this sentence:
The phoenix protected the village.
Copy:","The phoenix protected the village.
The phoenix protected the village.
The phoenix protected the village.
The phoenix",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
gpt2,2,in_template_test,copy_sentence,The phoenix protected the village.,I wonder whether the phoenix protected the village.,question,wrong_class,0.75,tense_shift,"Copy this sentence:
The phoenix protected the village.
Copy:","The phoenix protected the village.
The phoenix protected the village.
The phoenix protected the village.
The phoenix",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
gpt2,2,in_template_test,copy_sentence,The phoenix protected the village.,I wonder whether the phoenix protected the village.,question,negative_target,0.75,question,"Copy this sentence:
The phoenix protected the village.
Copy:","The phoenix protected the village.
The phoenix protected the village.
The phoenix protected the village.
The phoenix protected",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0
gpt2,2,in_template_test,same_sentence,The phoenix protected the village.,I wonder whether the phoenix protected the village.,question,none,0.0,,"Same sentence:
The phoenix protected the village.
Same:","The phoenix protected the village.
Same:
The phoenix protected the village.
Same:
The phoenix protected the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0
gpt2,2,in_template_test,same_sentence,The phoenix protected the village.,I wonder whether the phoenix protected the village.,question,target,0.75,question,"Same sentence:
The phoenix protected the village.
Same:","The phoenix protected the village.
The phoenix protected the village?
The phoenix protected the village?
The phoenix",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,116.0
gpt2,2,in_template_test,same_sentence,The phoenix protected the village.,I wonder whether the phoenix protected the village.,question,random_norm,0.75,random_norm,"Same sentence:
The phoenix protected the village.
Same:","The phoenix protected the village.
The phoenix protected the village.
The phoenix protected the village.
The phoenix",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
gpt2,2,in_template_test,same_sentence,The phoenix protected the village.,I wonder whether the phoenix protected the village.,question,wrong_class,0.75,modality,"Same sentence:
The phoenix protected the village.
Same:","The phoenix protected the village.
Same:
The phoenix protected the village.
Same:
The phoenix protected the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0
gpt2,2,in_template_test,same_sentence,The phoenix protected the village.,I wonder whether the phoenix protected the village.,question,negative_target,0.75,question,"Same sentence:
The phoenix protected the village.
Same:","The phoenix protected the village.
The phoenix protected the village.
The phoenix protected the village.
The phoenix",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
