split,base_id,syntax_family,class,source,target,source_idx,target_idx
train,train_33,simple_svo,formalization,The programmer tested the decision.,The fact is that the programmer tested the decision.,66,1276
train,train_33,with_context,negation,The programmer tested the decision in the laboratory.,The programmer never tested the decision in the laboratory.,67,1277
train,train_33,with_context,question,The programmer tested the decision in the laboratory.,Could the programmer have tested the decision in the laboratory?,67,1278
train,train_33,with_context,future,The programmer tested the decision in the laboratory.,The programmer is going to test the decision in the laboratory.,67,1279
train,train_33,with_context,uncertainty,The programmer tested the decision in the laboratory.,The programmer may have tested the decision in the laboratory.,67,1280
train,train_33,with_context,passive,The programmer tested the decision in the laboratory.,The decision was tested by the programmer in the laboratory.,67,1281
train,train_33,with_context,formalization,The programmer tested the decision in the laboratory.,The fact is that the programmer tested the decision in the laboratory.,67,1282
train,train_34,simple_svo,negation,The doctor reported the decision.,The doctor never reported the decision.,68,1283
train,train_34,simple_svo,question,The doctor reported the decision.,Did the doctor report the decision?,68,1284
train,train_34,simple_svo,future,The doctor reported the decision.,The doctor will report the decision.,68,1285
train,train_34,simple_svo,uncertainty,The doctor reported the decision.,The doctor may have reported the decision.,68,1286
train,train_34,simple_svo,passive,The doctor reported the decision.,The decision was reported by the doctor.,68,1287
train,train_34,simple_svo,formalization,The doctor reported the decision.,The fact is that the doctor reported the decision.,68,1288
train,train_34,with_context,negation,The doctor reported the decision during the meeting.,The doctor never reported the decision during the meeting.,69,1289
train,train_34,with_context,question,The doctor reported the decision during the meeting.,Could the doctor have reported the decision during the meeting?,69,1290
train,train_34,with_context,future,The doctor reported the decision during the meeting.,The doctor will report the decision during the meeting.,69,1291
train,train_34,with_context,uncertainty,The doctor reported the decision during the meeting.,The doctor might have reported the decision during the meeting.,69,1292
train,train_34,with_context,passive,The doctor reported the decision during the meeting.,The decision had been reported by the doctor during the meeting.,69,1293
train,train_34,with_context,formalization,The doctor reported the decision during the meeting.,It is true that the doctor reported the decision during the meeting.,69,1294
train,train_35,simple_svo,negation,The programmer wrote the system.,The programmer never wrote the system.,70,1295
train,train_35,simple_svo,question,The programmer wrote the system.,Could the programmer have wrote the system?,70,1296
train,train_35,simple_svo,future,The programmer wrote the system.,The programmer will write the system.,70,1297
train,train_35,simple_svo,uncertainty,The programmer wrote the system.,The programmer may have wrote the system.,70,1298
train,train_35,simple_svo,passive,The programmer wrote the system.,The system was wrote by the programmer.,70,1299
train,train_35,simple_svo,formalization,The programmer wrote the system.,The fact is that the programmer wrote the system.,70,1300
train,train_35,with_context,negation,The programmer wrote the system before the deadline.,The programmer never wrote the system before the deadline.,71,1301
train,train_35,with_context,question,The programmer wrote the system before the deadline.,Could the programmer have wrote the system before the deadline?,71,1302
train,train_35,with_context,future,The programmer wrote the system before the deadline.,The programmer is going to write the system before the deadline.,71,1303
train,train_35,with_context,uncertainty,The programmer wrote the system before the deadline.,The programmer might have wrote the system before the deadline.,71,1304
train,train_35,with_context,passive,The programmer wrote the system before the deadline.,The system was wrote by the programmer before the deadline.,71,1305
train,train_35,with_context,formalization,The programmer wrote the system before the deadline.,The fact is that the programmer wrote the system before the deadline.,71,1306
train,train_36,simple_svo,negation,The student observed the system.,The student did not observe the system.,72,1307
train,train_36,simple_svo,question,The student observed the system.,Did the student observe the system?,72,1308
train,train_36,simple_svo,future,The student observed the system.,The student is going to observe the system.,72,1309
train,train_36,simple_svo,uncertainty,The student observed the system.,The student might have observed the system.,72,1310
train,train_36,simple_svo,passive,The student observed the system.,The system was observed by the student.,72,1311
train,train_36,simple_svo,formalization,The student observed the system.,It is true that the student observed the system.,72,1312
train,train_36,with_context,negation,The student observed the system in the laboratory.,The student never observed the system in the laboratory.,73,1313
train,train_36,with_context,question,The student observed the system in the laboratory.,Did the student observe the system in the laboratory?,73,1314
train,train_36,with_context,future,The student observed the system in the laboratory.,The student will observe the system in the laboratory.,73,1315
train,train_36,with_context,uncertainty,The student observed the system in the laboratory.,The student might have observed the system in the laboratory.,73,1316
train,train_36,with_context,passive,The student observed the system in the laboratory.,The system was observed by the student in the laboratory.,73,1317
train,train_36,with_context,formalization,The student observed the system in the laboratory.,The fact is that the student observed the system in the laboratory.,73,1318
train,train_37,simple_svo,negation,The scientist studied a new principle.,The scientist never studied a new principle.,74,1319
train,train_37,simple_svo,question,The scientist studied a new principle.,Could the scientist have studied a new principle?,74,1320
train,train_37,simple_svo,future,The scientist studied a new principle.,The scientist will study a new principle.,74,1321
train,train_37,simple_svo,uncertainty,The scientist studied a new principle.,The scientist may have studied a new principle.,74,1322
train,train_37,simple_svo,passive,The scientist studied a new principle.,A new principle was studied by the scientist.,74,1323
train,train_37,simple_svo,formalization,The scientist studied a new principle.,The fact is that the scientist studied a new principle.,74,1324
train,train_37,with_context,negation,The scientist studied a new principle before the presentation.,The scientist never studied a new principle before the presentation.,75,1325
train,train_37,with_context,question,The scientist studied a new principle before the presentation.,Could the scientist have studied a new principle before the presentation?,75,1326
train,train_37,with_context,future,The scientist studied a new principle before the presentation.,The scientist will study a new principle before the presentation.,75,1327
train,train_37,with_context,uncertainty,The scientist studied a new principle before the presentation.,The scientist may have studied a new principle before the presentation.,75,1328
train,train_37,with_context,passive,The scientist studied a new principle before the presentation.,A new principle had been studied by the scientist before the presentation.,75,1329
train,train_37,with_context,formalization,The scientist studied a new principle before the presentation.,The fact is that the scientist studied a new principle before the presentation.,75,1330
train,train_38,simple_svo,negation,The manager reported a complex machine.,The manager did not report a complex machine.,76,1331
train,train_38,simple_svo,question,The manager reported a complex machine.,Could the manager have reported a complex machine?,76,1332
train,train_38,simple_svo,future,The manager reported a complex machine.,The manager is going to report a complex machine.,76,1333
train,train_38,simple_svo,uncertainty,The manager reported a complex machine.,The manager might have reported a complex machine.,76,1334
train,train_38,simple_svo,passive,The manager reported a complex machine.,A complex machine was reported by the manager.,76,1335
train,train_38,simple_svo,formalization,The manager reported a complex machine.,The fact is that the manager reported a complex machine.,76,1336
train,train_38,with_context,negation,The manager reported a complex machine after the interview.,The manager never reported a complex machine after the interview.,77,1337
train,train_38,with_context,question,The manager reported a complex machine after the interview.,Did the manager report a complex machine after the interview?,77,1338
train,train_38,with_context,future,The manager reported a complex machine after the interview.,The manager will report a complex machine after the interview.,77,1339
train,train_38,with_context,uncertainty,The manager reported a complex machine after the interview.,The manager may have reported a complex machine after the interview.,77,1340
train,train_38,with_context,passive,The manager reported a complex machine after the interview.,A complex machine had been reported by the manager after the interview.,77,1341
train,train_38,with_context,formalization,The manager reported a complex machine after the interview.,The fact is that the manager reported a complex machine after the interview.,77,1342
train,train_39,simple_svo,negation,The scientist designed the decision.,The scientist never designed the decision.,78,1343
train,train_39,simple_svo,question,The scientist designed the decision.,Could the scientist have designed the decision?,78,1344
train,train_39,simple_svo,future,The scientist designed the decision.,The scientist will design the decision.,78,1345
train,train_39,simple_svo,uncertainty,The scientist designed the decision.,The scientist may have designed the decision.,78,1346
train,train_39,simple_svo,passive,The scientist designed the decision.,The decision had been designed by the scientist.,78,1347
train,train_39,simple_svo,formalization,The scientist designed the decision.,It is true that the scientist designed the decision.,78,1348
train,train_39,with_context,negation,The scientist designed the decision in the laboratory.,The scientist never designed the decision in the laboratory.,79,1349
train,train_39,with_context,question,The scientist designed the decision in the laboratory.,Did the scientist design the decision in the laboratory?,79,1350
train,train_39,with_context,future,The scientist designed the decision in the laboratory.,The scientist is going to design the decision in the laboratory.,79,1351
train,train_39,with_context,uncertainty,The scientist designed the decision in the laboratory.,The scientist might have designed the decision in the laboratory.,79,1352
train,train_39,with_context,passive,The scientist designed the decision in the laboratory.,The decision had been designed by the scientist in the laboratory.,79,1353
train,train_39,with_context,formalization,The scientist designed the decision in the laboratory.,The fact is that the scientist designed the decision in the laboratory.,79,1354
train,train_40,simple_svo,negation,The child helped the system.,The child did not help the system.,80,1355
train,train_40,simple_svo,question,The child helped the system.,Did the child help the system?,80,1356
train,train_40,simple_svo,future,The child helped the system.,The child will help the system.,80,1357
train,train_40,simple_svo,uncertainty,The child helped the system.,The child may have helped the system.,80,1358
train,train_40,simple_svo,passive,The child helped the system.,The system was helped by the child.,80,1359
train,train_40,simple_svo,formalization,The child helped the system.,It is true that the child helped the system.,80,1360
train,train_40,with_context,negation,The child helped the system before the deadline.,The child never helped the system before the deadline.,81,1361
train,train_40,with_context,question,The child helped the system before the deadline.,Did the child help the system before the deadline?,81,1362
train,train_40,with_context,future,The child helped the system before the deadline.,The child will help the system before the deadline.,81,1363
train,train_40,with_context,uncertainty,The child helped the system before the deadline.,The child might have helped the system before the deadline.,81,1364
train,train_40,with_context,passive,The child helped the system before the deadline.,The system had been helped by the child before the deadline.,81,1365
train,train_40,with_context,formalization,The child helped the system before the deadline.,The fact is that the child helped the system before the deadline.,81,1366
train,train_41,simple_svo,negation,The programmer examined a black cat.,The programmer never examined a black cat.,82,1367
train,train_41,simple_svo,question,The programmer examined a black cat.,Did the programmer examine a black cat?,82,1368
train,train_41,simple_svo,future,The programmer examined a black cat.,The programmer is going to examine a black cat.,82,1369
train,train_41,simple_svo,uncertainty,The programmer examined a black cat.,The programmer may have examined a black cat.,82,1370
train,train_41,simple_svo,passive,The programmer examined a black cat.,A black cat was examined by the programmer.,82,1371
train,train_41,simple_svo,formalization,The programmer examined a black cat.,The fact is that the programmer examined a black cat.,82,1372
train,train_41,with_context,negation,The programmer examined a black cat after the discussion.,The programmer never examined a black cat after the discussion.,83,1373
train,train_41,with_context,question,The programmer examined a black cat after the discussion.,Could the programmer have examined a black cat after the discussion?,83,1374
train,train_41,with_context,future,The programmer examined a black cat after the discussion.,The programmer will examine a black cat after the discussion.,83,1375
train,train_41,with_context,uncertainty,The programmer examined a black cat after the discussion.,The programmer might have examined a black cat after the discussion.,83,1376
train,train_41,with_context,passive,The programmer examined a black cat after the discussion.,A black cat had been examined by the programmer after the discussion.,83,1377
train,train_41,with_context,formalization,The programmer examined a black cat after the discussion.,It is true that the programmer examined a black cat after the discussion.,83,1378
train,train_42,simple_svo,negation,The writer helped the problem.,The writer never helped the problem.,84,1379
train,train_42,simple_svo,question,The writer helped the problem.,Did the writer help the problem?,84,1380
train,train_42,simple_svo,future,The writer helped the problem.,The writer will help the problem.,84,1381
train,train_42,simple_svo,uncertainty,The writer helped the problem.,The writer may have helped the problem.,84,1382
train,train_42,simple_svo,passive,The writer helped the problem.,The problem had been helped by the writer.,84,1383
train,train_42,simple_svo,formalization,The writer helped the problem.,The fact is that the writer helped the problem.,84,1384
train,train_42,with_context,negation,The writer helped the problem in the laboratory.,The writer did not help the problem in the laboratory.,85,1385
train,train_42,with_context,question,The writer helped the problem in the laboratory.,Could the writer have helped the problem in the laboratory?,85,1386
train,train_42,with_context,future,The writer helped the problem in the laboratory.,The writer will help the problem in the laboratory.,85,1387
train,train_42,with_context,uncertainty,The writer helped the problem in the laboratory.,The writer might have helped the problem in the laboratory.,85,1388
train,train_42,with_context,passive,The writer helped the problem in the laboratory.,The problem had been helped by the writer in the laboratory.,85,1389
train,train_42,with_context,formalization,The writer helped the problem in the laboratory.,It is true that the writer helped the problem in the laboratory.,85,1390
train,train_43,simple_svo,negation,The programmer analyzed the system.,The programmer never analyzed the system.,86,1391
train,train_43,simple_svo,question,The programmer analyzed the system.,Did the programmer analyze the system?,86,1392
train,train_43,simple_svo,future,The programmer analyzed the system.,The programmer will analyze the system.,86,1393
train,train_43,simple_svo,uncertainty,The programmer analyzed the system.,The programmer may have analyzed the system.,86,1394
train,train_43,simple_svo,passive,The programmer analyzed the system.,The system was analyzed by the programmer.,86,1395
train,train_43,simple_svo,formalization,The programmer analyzed the system.,The fact is that the programmer analyzed the system.,86,1396
train,train_43,with_context,negation,The programmer analyzed the system after the interview.,The programmer did not analyze the system after the interview.,87,1397
train,train_43,with_context,question,The programmer analyzed the system after the interview.,Did the programmer analyze the system after the interview?,87,1398
train,train_43,with_context,future,The programmer analyzed the system after the interview.,The programmer will analyze the system after the interview.,87,1399
train,train_43,with_context,uncertainty,The programmer analyzed the system after the interview.,The programmer may have analyzed the system after the interview.,87,1400
train,train_43,with_context,passive,The programmer analyzed the system after the interview.,The system was analyzed by the programmer after the interview.,87,1401
train,train_43,with_context,formalization,The programmer analyzed the system after the interview.,The fact is that the programmer analyzed the system after the interview.,87,1402
train,train_44,simple_svo,negation,The programmer measured the problem.,The programmer did not measure the problem.,88,1403
train,train_44,simple_svo,question,The programmer measured the problem.,Could the programmer have measured the problem?,88,1404
train,train_44,simple_svo,future,The programmer measured the problem.,The programmer is going to measure the problem.,88,1405
train,train_44,simple_svo,uncertainty,The programmer measured the problem.,The programmer may have measured the problem.,88,1406
train,train_44,simple_svo,passive,The programmer measured the problem.,The problem was measured by the programmer.,88,1407
train,train_44,simple_svo,formalization,The programmer measured the problem.,It is true that the programmer measured the problem.,88,1408
train,train_44,with_context,negation,The programmer measured the problem before the deadline.,The programmer never measured the problem before the deadline.,89,1409
train,train_44,with_context,question,The programmer measured the problem before the deadline.,Did the programmer measure the problem before the deadline?,89,1410
train,train_44,with_context,future,The programmer measured the problem before the deadline.,The programmer is going to measure the problem before the deadline.,89,1411
train,train_44,with_context,uncertainty,The programmer measured the problem before the deadline.,The programmer might have measured the problem before the deadline.,89,1412
train,train_44,with_context,passive,The programmer measured the problem before the deadline.,The problem was measured by the programmer before the deadline.,89,1413
train,train_44,with_context,formalization,The programmer measured the problem before the deadline.,It is true that the programmer measured the problem before the deadline.,89,1414
train,train_45,simple_svo,negation,The engineer analyzed a new principle.,The engineer never analyzed a new principle.,90,1415
train,train_45,simple_svo,question,The engineer analyzed a new principle.,Did the engineer analyze a new principle?,90,1416
train,train_45,simple_svo,future,The engineer analyzed a new principle.,The engineer will analyze a new principle.,90,1417
train,train_45,simple_svo,uncertainty,The engineer analyzed a new principle.,The engineer might have analyzed a new principle.,90,1418
train,train_45,simple_svo,passive,The engineer analyzed a new principle.,A new principle was analyzed by the engineer.,90,1419
train,train_45,simple_svo,formalization,The engineer analyzed a new principle.,The fact is that the engineer analyzed a new principle.,90,1420
train,train_45,with_context,negation,The engineer analyzed a new principle during the experiment.,The engineer did not analyze a new principle during the experiment.,91,1421
train,train_45,with_context,question,The engineer analyzed a new principle during the experiment.,Could the engineer have analyzed a new principle during the experiment?,91,1422
train,train_45,with_context,future,The engineer analyzed a new principle during the experiment.,The engineer will analyze a new principle during the experiment.,91,1423
train,train_45,with_context,uncertainty,The engineer analyzed a new principle during the experiment.,The engineer might have analyzed a new principle during the experiment.,91,1424
train,train_45,with_context,passive,The engineer analyzed a new principle during the experiment.,A new principle was analyzed by the engineer during the experiment.,91,1425
train,train_45,with_context,formalization,The engineer analyzed a new principle during the experiment.,The fact is that the engineer analyzed a new principle during the experiment.,91,1426
train,train_46,simple_svo,negation,The doctor wrote a beautiful painting.,The doctor never wrote a beautiful painting.,92,1427
train,train_46,simple_svo,question,The doctor wrote a beautiful painting.,Could the doctor have wrote a beautiful painting?,92,1428
train,train_46,simple_svo,future,The doctor wrote a beautiful painting.,The doctor will write a beautiful painting.,92,1429
train,train_46,simple_svo,uncertainty,The doctor wrote a beautiful painting.,The doctor may have wrote a beautiful painting.,92,1430
train,train_46,simple_svo,passive,The doctor wrote a beautiful painting.,A beautiful painting had been wrote by the doctor.,92,1431
train,train_46,simple_svo,formalization,The doctor wrote a beautiful painting.,It is true that the doctor wrote a beautiful painting.,92,1432
train,train_46,with_context,negation,The doctor wrote a beautiful painting before the presentation.,The doctor did not write a beautiful painting before the presentation.,93,1433
train,train_46,with_context,question,The doctor wrote a beautiful painting before the presentation.,Did the doctor write a beautiful painting before the presentation?,93,1434
train,train_46,with_context,future,The doctor wrote a beautiful painting before the presentation.,The doctor will write a beautiful painting before the presentation.,93,1435
train,train_46,with_context,uncertainty,The doctor wrote a beautiful painting before the presentation.,The doctor may have wrote a beautiful painting before the presentation.,93,1436
train,train_46,with_context,passive,The doctor wrote a beautiful painting before the presentation.,A beautiful painting was wrote by the doctor before the presentation.,93,1437
train,train_46,with_context,formalization,The doctor wrote a beautiful painting before the presentation.,It is true that the doctor wrote a beautiful painting before the presentation.,93,1438
train,train_47,simple_svo,negation,The manager approved the system.,The manager never approved the system.,94,1439
train,train_47,simple_svo,question,The manager approved the system.,Could the manager have approved the system?,94,1440
train,train_47,simple_svo,future,The manager approved the system.,The manager is going to approve the system.,94,1441
train,train_47,simple_svo,uncertainty,The manager approved the system.,The manager might have approved the system.,94,1442
train,train_47,simple_svo,passive,The manager approved the system.,The system was approved by the manager.,94,1443
train,train_47,simple_svo,formalization,The manager approved the system.,It is true that the manager approved the system.,94,1444
train,train_47,with_context,negation,The manager approved the system after the discussion.,The manager did not approve the system after the discussion.,95,1445
train,train_47,with_context,question,The manager approved the system after the discussion.,Could the manager have approved the system after the discussion?,95,1446
train,train_47,with_context,future,The manager approved the system after the discussion.,The manager is going to approve the system after the discussion.,95,1447
train,train_47,with_context,uncertainty,The manager approved the system after the discussion.,The manager might have approved the system after the discussion.,95,1448
train,train_47,with_context,passive,The manager approved the system after the discussion.,The system was approved by the manager after the discussion.,95,1449
train,train_47,with_context,formalization,The manager approved the system after the discussion.,The fact is that the manager approved the system after the discussion.,95,1450
train,train_48,simple_svo,negation,The doctor analyzed the patient.,The doctor did not analyze the patient.,96,1451
train,train_48,simple_svo,question,The doctor analyzed the patient.,Did the doctor analyze the patient?,96,1452
train,train_48,simple_svo,future,The doctor analyzed the patient.,The doctor is going to analyze the patient.,96,1453
train,train_48,simple_svo,uncertainty,The doctor analyzed the patient.,The doctor might have analyzed the patient.,96,1454
train,train_48,simple_svo,passive,The doctor analyzed the patient.,The patient had been analyzed by the doctor.,96,1455
train,train_48,simple_svo,formalization,The doctor analyzed the patient.,It is true that the doctor analyzed the patient.,96,1456
train,train_48,with_context,negation,The doctor analyzed the patient in the laboratory.,The doctor never analyzed the patient in the laboratory.,97,1457
train,train_48,with_context,question,The doctor analyzed the patient in the laboratory.,Could the doctor have analyzed the patient in the laboratory?,97,1458
train,train_48,with_context,future,The doctor analyzed the patient in the laboratory.,The doctor is going to analyze the patient in the laboratory.,97,1459
train,train_48,with_context,uncertainty,The doctor analyzed the patient in the laboratory.,The doctor may have analyzed the patient in the laboratory.,97,1460
train,train_48,with_context,passive,The doctor analyzed the patient in the laboratory.,The patient had been analyzed by the doctor in the laboratory.,97,1461
train,train_48,with_context,formalization,The doctor analyzed the patient in the laboratory.,The fact is that the doctor analyzed the patient in the laboratory.,97,1462
train,train_49,simple_svo,negation,The scientist wrote a new principle.,The scientist did not write a new principle.,98,1463
train,train_49,simple_svo,question,The scientist wrote a new principle.,Did the scientist write a new principle?,98,1464
train,train_49,simple_svo,future,The scientist wrote a new principle.,The scientist is going to write a new principle.,98,1465
train,train_49,simple_svo,uncertainty,The scientist wrote a new principle.,The scientist might have wrote a new principle.,98,1466
train,train_49,simple_svo,passive,The scientist wrote a new principle.,A new principle was wrote by the scientist.,98,1467
train,train_49,simple_svo,formalization,The scientist wrote a new principle.,The fact is that the scientist wrote a new principle.,98,1468
train,train_49,with_context,negation,The scientist wrote a new principle after the interview.,The scientist never wrote a new principle after the interview.,99,1469
train,train_49,with_context,question,The scientist wrote a new principle after the interview.,Did the scientist write a new principle after the interview?,99,1470
train,train_49,with_context,future,The scientist wrote a new principle after the interview.,The scientist will write a new principle after the interview.,99,1471
train,train_49,with_context,uncertainty,The scientist wrote a new principle after the interview.,The scientist may have wrote a new principle after the interview.,99,1472
train,train_49,with_context,passive,The scientist wrote a new principle after the interview.,A new principle was wrote by the scientist after the interview.,99,1473
train,train_49,with_context,formalization,The scientist wrote a new principle after the interview.,It is true that the scientist wrote a new principle after the interview.,99,1474
train,train_50,simple_svo,negation,The child improved a complex machine.,The child did not improve a complex machine.,100,1475
train,train_50,simple_svo,question,The child improved a complex machine.,Did the child improve a complex machine?,100,1476
train,train_50,simple_svo,future,The child improved a complex machine.,The child will improve a complex machine.,100,1477
train,train_50,simple_svo,uncertainty,The child improved a complex machine.,The child might have improved a complex machine.,100,1478
train,train_50,simple_svo,passive,The child improved a complex machine.,A complex machine was improved by the child.,100,1479
train,train_50,simple_svo,formalization,The child improved a complex machine.,It is true that the child improved a complex machine.,100,1480
train,train_50,with_context,negation,The child improved a complex machine before the presentation.,The child did not improve a complex machine before the presentation.,101,1481
train,train_50,with_context,question,The child improved a complex machine before the presentation.,Could the child have improved a complex machine before the presentation?,101,1482
train,train_50,with_context,future,The child improved a complex machine before the presentation.,The child is going to improve a complex machine before the presentation.,101,1483
train,train_50,with_context,uncertainty,The child improved a complex machine before the presentation.,The child might have improved a complex machine before the presentation.,101,1484
train,train_50,with_context,passive,The child improved a complex machine before the presentation.,A complex machine was improved by the child before the presentation.,101,1485
train,train_50,with_context,formalization,The child improved a complex machine before the presentation.,The fact is that the child improved a complex machine before the presentation.,101,1486
train,train_51,simple_svo,negation,The teacher tested a complex machine.,The teacher did not test a complex machine.,102,1487
train,train_51,simple_svo,question,The teacher tested a complex machine.,Did the teacher test a complex machine?,102,1488
train,train_51,simple_svo,future,The teacher tested a complex machine.,The teacher will test a complex machine.,102,1489
train,train_51,simple_svo,uncertainty,The teacher tested a complex machine.,The teacher may have tested a complex machine.,102,1490
train,train_51,simple_svo,passive,The teacher tested a complex machine.,A complex machine had been tested by the teacher.,102,1491
train,train_51,simple_svo,formalization,The teacher tested a complex machine.,It is true that the teacher tested a complex machine.,102,1492
train,train_51,with_context,negation,The teacher tested a complex machine after the discussion.,The teacher did not test a complex machine after the discussion.,103,1493
train,train_51,with_context,question,The teacher tested a complex machine after the discussion.,Did the teacher test a complex machine after the discussion?,103,1494
train,train_51,with_context,future,The teacher tested a complex machine after the discussion.,The teacher is going to test a complex machine after the discussion.,103,1495
train,train_51,with_context,uncertainty,The teacher tested a complex machine after the discussion.,The teacher may have tested a complex machine after the discussion.,103,1496
train,train_51,with_context,passive,The teacher tested a complex machine after the discussion.,A complex machine had been tested by the teacher after the discussion.,103,1497
train,train_51,with_context,formalization,The teacher tested a complex machine after the discussion.,The fact is that the teacher tested a complex machine after the discussion.,103,1498
train,train_52,simple_svo,negation,The student explained a new principle.,The student never explained a new principle.,104,1499
train,train_52,simple_svo,question,The student explained a new principle.,Could the student have explained a new principle?,104,1500
train,train_52,simple_svo,future,The student explained a new principle.,The student is going to explain a new principle.,104,1501
train,train_52,simple_svo,uncertainty,The student explained a new principle.,The student may have explained a new principle.,104,1502
train,train_52,simple_svo,passive,The student explained a new principle.,A new principle was explained by the student.,104,1503
train,train_52,simple_svo,formalization,The student explained a new principle.,The fact is that the student explained a new principle.,104,1504
train,train_52,with_context,negation,The student explained a new principle at the school.,The student did not explain a new principle at the school.,105,1505
train,train_52,with_context,question,The student explained a new principle at the school.,Could the student have explained a new principle at the school?,105,1506
train,train_52,with_context,future,The student explained a new principle at the school.,The student will explain a new principle at the school.,105,1507
train,train_52,with_context,uncertainty,The student explained a new principle at the school.,The student may have explained a new principle at the school.,105,1508
train,train_52,with_context,passive,The student explained a new principle at the school.,A new principle had been explained by the student at the school.,105,1509
train,train_52,with_context,formalization,The student explained a new principle at the school.,It is true that the student explained a new principle at the school.,105,1510
train,train_53,simple_svo,negation,The student wrote a black cat.,The student never wrote a black cat.,106,1511
train,train_53,simple_svo,question,The student wrote a black cat.,Did the student write a black cat?,106,1512
train,train_53,simple_svo,future,The student wrote a black cat.,The student will write a black cat.,106,1513
train,train_53,simple_svo,uncertainty,The student wrote a black cat.,The student may have wrote a black cat.,106,1514
train,train_53,simple_svo,passive,The student wrote a black cat.,A black cat was wrote by the student.,106,1515
train,train_53,simple_svo,formalization,The student wrote a black cat.,The fact is that the student wrote a black cat.,106,1516
train,train_53,with_context,negation,The student wrote a black cat after the interview.,The student did not write a black cat after the interview.,107,1517
train,train_53,with_context,question,The student wrote a black cat after the interview.,Did the student write a black cat after the interview?,107,1518
train,train_53,with_context,future,The student wrote a black cat after the interview.,The student is going to write a black cat after the interview.,107,1519
train,train_53,with_context,uncertainty,The student wrote a black cat after the interview.,The student may have wrote a black cat after the interview.,107,1520
train,train_53,with_context,passive,The student wrote a black cat after the interview.,A black cat was wrote by the student after the interview.,107,1521
train,train_53,with_context,formalization,The student wrote a black cat after the interview.,The fact is that the student wrote a black cat after the interview.,107,1522
train,train_54,simple_svo,negation,The student prepared the problem.,The student never prepared the problem.,108,1523
train,train_54,simple_svo,question,The student prepared the problem.,Could the student have prepared the problem?,108,1524
train,train_54,simple_svo,future,The student prepared the problem.,The student is going to prepare the problem.,108,1525
train,train_54,simple_svo,uncertainty,The student prepared the problem.,The student may have prepared the problem.,108,1526
train,train_54,simple_svo,passive,The student prepared the problem.,The problem was prepared by the student.,108,1527
train,train_54,simple_svo,formalization,The student prepared the problem.,The fact is that the student prepared the problem.,108,1528
train,train_54,with_context,negation,The student prepared the problem in the laboratory.,The student never prepared the problem in the laboratory.,109,1529
train,train_54,with_context,question,The student prepared the problem in the laboratory.,Could the student have prepared the problem in the laboratory?,109,1530
train,train_54,with_context,future,The student prepared the problem in the laboratory.,The student is going to prepare the problem in the laboratory.,109,1531
train,train_54,with_context,uncertainty,The student prepared the problem in the laboratory.,The student may have prepared the problem in the laboratory.,109,1532
train,train_54,with_context,passive,The student prepared the problem in the laboratory.,The problem had been prepared by the student in the laboratory.,109,1533
train,train_54,with_context,formalization,The student prepared the problem in the laboratory.,The fact is that the student prepared the problem in the laboratory.,109,1534
train,train_55,simple_svo,negation,The programmer tested a black cat.,The programmer did not test a black cat.,12,947
train,train_55,simple_svo,question,The programmer tested a black cat.,Could the programmer have tested a black cat?,12,948
train,train_55,simple_svo,future,The programmer tested a black cat.,The programmer is going to test a black cat.,12,1535
train,train_55,simple_svo,uncertainty,The programmer tested a black cat.,The programmer may have tested a black cat.,12,950
train,train_55,simple_svo,passive,The programmer tested a black cat.,A black cat was tested by the programmer.,12,1536
train,train_55,simple_svo,formalization,The programmer tested a black cat.,It is true that the programmer tested a black cat.,12,952
train,train_55,with_context,negation,The programmer tested a black cat during the meeting.,The programmer did not test a black cat during the meeting.,110,1537
train,train_55,with_context,question,The programmer tested a black cat during the meeting.,Did the programmer test a black cat during the meeting?,110,1538
train,train_55,with_context,future,The programmer tested a black cat during the meeting.,The programmer will test a black cat during the meeting.,110,1539
train,train_55,with_context,uncertainty,The programmer tested a black cat during the meeting.,The programmer may have tested a black cat during the meeting.,110,1540
train,train_55,with_context,passive,The programmer tested a black cat during the meeting.,A black cat was tested by the programmer during the meeting.,110,1541
train,train_55,with_context,formalization,The programmer tested a black cat during the meeting.,The fact is that the programmer tested a black cat during the meeting.,110,1542
train,train_56,simple_svo,negation,The programmer wrote the patient.,The programmer never wrote the patient.,111,1543
train,train_56,simple_svo,question,The programmer wrote the patient.,Did the programmer write the patient?,111,1544
train,train_56,simple_svo,future,The programmer wrote the patient.,The programmer will write the patient.,111,1545
train,train_56,simple_svo,uncertainty,The programmer wrote the patient.,The programmer may have wrote the patient.,111,1546
train,train_56,simple_svo,passive,The programmer wrote the patient.,The patient had been wrote by the programmer.,111,1547
train,train_56,simple_svo,formalization,The programmer wrote the patient.,It is true that the programmer wrote the patient.,111,1548
train,train_56,with_context,negation,The programmer wrote the patient during the meeting.,The programmer never wrote the patient during the meeting.,112,1549
train,train_56,with_context,question,The programmer wrote the patient during the meeting.,Could the programmer have wrote the patient during the meeting?,112,1550
train,train_56,with_context,future,The programmer wrote the patient during the meeting.,The programmer is going to write the patient during the meeting.,112,1551
train,train_56,with_context,uncertainty,The programmer wrote the patient during the meeting.,The programmer might have wrote the patient during the meeting.,112,1552
train,train_56,with_context,passive,The programmer wrote the patient during the meeting.,The patient was wrote by the programmer during the meeting.,112,1553
train,train_56,with_context,formalization,The programmer wrote the patient during the meeting.,The fact is that the programmer wrote the patient during the meeting.,112,1554
